Member,First,Last,State,Party,Yea,Not Voting,Nay,Present,Total
Sullivan (R-AK),Dan,Sullivan,AK,R,81.56,3.35,15.08,0.0,179
Tester (D-MT),Jon,Tester,MT,D,49.16,0.0,50.84,0.0,179
Thune (R-SD),John,Thune,SD,R,85.47,0.0,14.53,0.0,179
Tillis (R-NC),Thomas,Tillis,NC,R,82.12,4.47,13.41,0.0,179
Toomey (R-PA),Patrick,Toomey,PA,R,81.01,3.35,15.64,0.0,179
Udall (D-NM),Tom,Udall,NM,D,36.87,2.23,60.34,0.56,179
Van Hollen (D-MD),Chris,Van Hollen,MD,D,37.99,0.56,60.89,0.56,179
Warner (D-VA),Mark,Warner,VA,D,50.28,2.23,46.93,0.56,179
Warren (D-MA),Elizabeth,Warren,MA,D,25.7,0.0,73.74,0.56,179
Whitehouse (D-RI),Sheldon,Whitehouse,RI,D,39.11,0.0,60.34,0.56,179
Wicker (R-MS),Roger,Wicker,MS,R,82.68,0.56,16.76,0.0,179
Wyden (D-OR),Ron,Wyden,OR,D,36.31,0.0,62.57,1.12,179
Young (R-IN),Todd,Young,IN,R,84.36,0.0,15.64,0.0,179
