Vote_Number,Yeas,Nays,Question
103,58,42,On the Amendment S.Amdt. 928 to S.Con.Res. 11 (No short title on file)
104,46,54,On the Amendment S.Amdt. 817 to S.Con.Res. 11 (No short title on file)
105,54,46,On the Amendment S.Amdt. 515 to S.Con.Res. 11 (No short title on file)
106,51,49,On the Amendment S.Amdt. 838 to S.Con.Res. 11 (No short title on file)
107,47,52,On the Amendment S.Amdt. 867 to S.Con.Res. 11 (No short title on file)
108,59,41,On the Amendment S.Amdt. 649 to S.Con.Res. 11 (No short title on file)
109,100,0,On the Amendment S.Amdt. 545 to S.Con.Res. 11 (No short title on file)
110,46,54,On the Amendment S.Amdt. 966 to S.Con.Res. 11 (No short title on file)
111,46,54,On the Amendment S.Amdt. 1072 to S.Con.Res. 11 (No short title on file)
112,59,41,On the Amendment S.Amdt. 689 to S.Con.Res. 11 (No short title on file)
113,100,0,On the Amendment S.Amdt. 632 to S.Con.Res. 11 (No short title on file)
114,54,46,On the Amendment S.Amdt. 607 to S.Con.Res. 11 (No short title on file)
115,53,47,On the Amendment S.Amdt. 1014 to S.Con.Res. 11 (No short title on file)
116,57,43,On the Amendment S.Amdt. 836 to S.Con.Res. 11 (No short title on file)
117,46,54,On the Amendment S.Amdt. 842 to S.Con.Res. 11 (No short title on file)
118,59,41,On the Amendment S.Amdt. 443 to S.Con.Res. 11 (No short title on file)
119,46,54,On the Amendment S.Amdt. 951 to S.Con.Res. 11 (No short title on file)
120,51,49,On the Amendment S.Amdt. 665 to S.Con.Res. 11 (No short title on file)
121,57,43,On the Amendment S.Amdt. 1063 to S.Con.Res. 11 (No short title on file)
122,57,43,On the Amendment S.Amdt. 1038 to S.Con.Res. 11 (No short title on file)
123,51,49,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Nelson Amdt. No 944)
124,58,42,On the Amendment S.Amdt. 360 to S.Con.Res. 11 (No short title on file)
125,73,27,On the Amendment S.Amdt. 968 to S.Con.Res. 11 (No short title on file)
126,56,43,On the Amendment S.Amdt. 750 to S.Con.Res. 11 (No short title on file)
127,44,54,On the Amendment S.Amdt. 919 to S.Con.Res. 11 (No short title on file)
128,52,42,On the Amendment S.Amdt. 659 to S.Con.Res. 11 (No short title on file)
129,49,48,On the Motion (Motion to Waive Applicable Budgetary Discipline Cotton Amdt. No. 664)
130,52,46,On the Amendment S.Amdt. 811 to S.Con.Res. 11 (No short title on file)
131,42,56,On the Amendment S.Amdt. 1094 to S.Con.Res. 11 (No short title on file)
132,54,44,On the Amendment S.Amdt. 855 to S.Con.Res. 11 (No short title on file)
133,47,51,On the Amendment S.Amdt. 367 to S.Con.Res. 11 (No short title on file)
134,50,48,On the Amendment S.Amdt. 1047 to S.Con.Res. 11 (No short title on file)
135,52,46,On the Concurrent Resolution S.Con.Res. 11
136,95,0,On the Nomination PN21
137,54,45,On the Amendment S.Amdt. 1114 to H.R. 2 (Medicare Access and CHIP Reauthorization Act of 2015)
138,50,50,On the Motion (Motion to Waive Applicable Budgetary Discipline Bennet Amdt. No. 1115)
139,42,58,On the Amendment S.Amdt. 1116 to H.R. 2 (Medicare Access and CHIP Reauthorization Act of 2015)
140,43,57,On the Motion (Motion to Waive Applicable Budgetary Discipline Murray Amdt. No. 1117)
141,11,89,On the Amendment S.Amdt. 1118 to H.R. 2 (Medicare Access and CHIP Reauthorization Act of 2015)
142,58,42,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Cardin Amdt. No. 1119)
143,71,29,On the Motion (Motion to Waive Applicable Budgetary Discipline Re: H.R. 2)
144,92,8,On Passage of the Bill H.R. 2
145,54,43,"On the Motion (Motion to Disagree in the House Amendment, Agree to the Request for a Conference, and Authorize the Presiding Officer to Appoint Conferees.)"
146,86,11,On the Motion (Brown Motion to Instruct (Wall Street Banks) Re: S.Con.Res. 11)
147,85,11,On the Motion (Sanders Motion to Instruct (Postal Plant Closures) Re: S.Con.Res. 11)
148,97,0,On the Motion (Burr Motion to Instruct (Student Loans) Re: S.Con.Res. 11)
149,45,52,On the Motion (Warren Motion to Instruct (Student Loans) Re: S.Con.Res. 11)
150,84,13,On the Motion (Sanders Motion to Instruct (Social Security) Re: S.Con.Res. 11)
151,57,40,On the Motion (Fischer Motion to Instruct (Equal Pay) Re: S.Con.Res. 11)
152,44,53,On the Motion (Mikulski Motion to Instruct (Equal Pay) Re: S.Con.Res. 11)
153,45,52,On the Motion (Stabenow Motion to Instruct (Medicare Cuts) Re: S.Con.Res. 11)
154,95,2,On the Nomination PN56
155,91,0,On the Nomination PN16
156,43,55,On the Amendment S.Amdt. 301 to S. 178 (Justice for Victims of Trafficking Act of 2015)
157,98,0,On the Amendment S.Amdt. 1124 to S. 178 (Justice for Victims of Trafficking Act of 2015)
158,45,53,On the Amendment S.Amdt. 1127 to S. 178 (Justice for Victims of Trafficking Act of 2015)
159,56,43,On the Amendment S.Amdt. 290 to S. 178 (Justice for Victims of Trafficking Act of 2015)
160,99,0,On the Amendment S.Amdt. 311 to S. 178 (Justice for Victims of Trafficking Act of 2015)
161,98,0,On the Amendment S.Amdt. 1121 to S. 178 (Justice for Victims of Trafficking Act of 2015)
162,97,2,On the Amendment S.Amdt. 273 to S. 178 (Justice for Victims of Trafficking Act of 2015)
163,99,0,On Passage of the Bill S. 178
164,66,34,On the Cloture Motion PN4
165,56,43,On the Nomination PN4
166,87,0,On the Nomination PN43
167,39,57,On the Amendment S.Amdt. 1150 to S.Amdt. 1140 to H.R. 1191 (Protecting Volunteer Firefighters and Emergency Responders Act)
168,45,54,On the Amendment S.Amdt. 1147 to S.Amdt. 1140 to H.R. 1191 (Protecting Volunteer Firefighters and Emergency Responders Act)
169,93,0,On the Nomination PN209
170,53,44,On the Motion to Proceed S.Con.Res. 11
171,51,48,On the Conference Report S.Con.Res. 11
172,96,3,On the Motion to Table S.J.Res. 8
173,93,6,On the Cloture Motion S.Amdt. 1140 to H.R. 1191 (Iran Nuclear Agreement Review Act of 2015)
174,98,1,On Passage of the Bill H.R. 1191
175,90,0,On the Concurrent Resolution S.Con.Res. 16
176,52,45,On Cloture on the Motion to Proceed H.R. 1314
177,84,12,On the Nomination PN31
178,97,1,On Passage of the Bill H.R. 1295
179,78,20,On Passage of the Bill H.R. 644
180,65,33,On Cloture on the Motion to Proceed H.R. 1314
181,45,41,On the Amendment S.Amdt. 1242 to S.Amdt. 1221 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
182,92,0,On the Amendment S.Amdt. 1237 to S.Amdt. 1221 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
183,62,38,On the Cloture Motion S.Amdt. 1221 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
184,100,0,On the Nomination PN20
185,100,0,On the Nomination PN19
186,70,29,On the Amendment S.Amdt. 1411 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
187,48,51,On the Amendment S.Amdt. 1299 to S.Amdt. 1221 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
188,39,60,On the Amendment S.Amdt. 1327 to S.Amdt. 1221 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
189,47,52,On the Amendment S.Amdt. 1251 to S.Amdt. 1221 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
190,36,62,On the Amendment S.Amdt. 1243 to S.Amdt. 1221 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
191,62,37,On the Amendment S.Amdt. 1221 to H.R. 1314 (Ensuring Tax Exempt Organizations the Right to Appeal Act)
192,61,38,On the Cloture Motion H.R. 1314
193,62,37,On Passage of the Bill H.R. 1314
194,57,42,On Cloture on the Motion to Proceed H.R. 2048
195,45,54,On Cloture on the Motion to Proceed S. 1357
196,77,17,On Cloture on the Motion to Proceed H.R. 2048
197,83,14,On the Cloture Motion H.R. 2048
198,42,56,On the Amendment S.Amdt. 1451 to S.Amdt. 1450 to S.Amdt. 1449 to H.R. 2048
199,44,54,On the Amendment S.Amdt. 1450 to S.Amdt. 1449 to H.R. 2048 (USA FREEDOM Act of 2015)
200,43,56,On the Amendment S.Amdt. 1449 to H.R. 2048 (USA FREEDOM Act of 2015)
201,67,32,On Passage of the Bill H.R. 2048
202,61,34,On the Amendment S.Amdt. 1522 to S.Amdt. 1463 to H.R. 1735 (Military Construction Authorization Act for Fiscal Year 2016)
