Vote_Number,Yeas,Nays,Question
77,89,0,On the Nomination PN130
78,45,52,On the Amendment S.Amdt. 323 to S.Con.Res. 11 (No short title on file)
79,94,3,On the Amendment S.Amdt. 386 to S.Con.Res. 11 (No short title on file)
80,96,0,On the Amendment S.Amdt. 349 to S.Con.Res. 11 (No short title on file)
81,56,43,On the Amendment S.Amdt. 409 to S.Con.Res. 11 (No short title on file)
82,45,54,On the Amendment S.Amdt. 362 to S.Con.Res. 11 (No short title on file)
83,75,24,On the Amendment S.Amdt. 498 to S.Con.Res. 11 (No short title on file)
84,51,48,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Wyden Amdt. No. 471)
85,1,98,On the Amendment S.Amdt. 357 to S.Con.Res. 11 (No short title on file)
86,46,53,On the Amendment S.Amdt. 652 to S.Con.Res. 11 (No short title on file)
87,99,0,On the Amendment S.Amdt. 755 to S.Con.Res. 11 (No short title on file)
88,59,40,On the Amendment S.Amdt. 347 to S.Con.Res. 11 (No short title on file)
89,49,50,On the Amendment S.Amdt. 777 to S.Con.Res. 11 (No short title on file)
90,46,53,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Bennet Amdt. No. 601)
91,46,53,On the Amendment S.Amdt. 801 to S.Con.Res. 11 (No short title on file)
92,99,0,On the Amendment S.Amdt. 481 to S.Con.Res. 11 (No short title on file)
93,48,52,On the Amendment S.Amdt. 881 to S.Con.Res. 11 (No short title on file)
94,46,54,On the Amendment S.Amdt. 523 to S.Con.Res. 11 (No short title on file)
95,47,53,On the Amendment S.Amdt. 1012 to S.Con.Res. 11 (No short title on file)
96,32,68,On the Motion (Motion to Waive All Applicable Budgetary Discipline Rubio Amdt. No. 423 As Modified)
97,4,96,On the Motion (Motion to Waive All Applicable Budgetary Discipline Paul Amdt. No. 940 As Modified)
98,61,39,On the Amendment S.Amdt. 798 to S.Con.Res. 11 (No short title on file)
99,100,0,On the Amendment S.Amdt. 356 to S.Con.Res. 11 (No short title on file)
100,45,55,On the Amendment S.Amdt. 432 to S.Con.Res. 11 (No short title on file)
101,46,54,On the Amendment S.Amdt. 828 to S.Con.Res. 11 (No short title on file)
102,56,44,On the Amendment S.Amdt. 692 to S.Con.Res. 11 (No short title on file)
