Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2016,114,2,1,82,6,On the Nomination PN11
2016,114,2,2,53,44,On Cloture on the Motion to Proceed S. 2232
2016,114,2,3,58,36,On the Nomination PN367
2016,114,2,4,55,43,On the Cloture Motion H.R. 4038
2016,114,2,5,52,40,On the Cloture Motion S.J.Res. 22
2016,114,2,6,84,2,On the Nomination PN326
2016,114,2,7,87,4,On the Amendment S.Amdt. 3021 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,8,62,29,On the Amendment S.Amdt. 2982 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,9,55,37,On the Amendment S.Amdt. 2965 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,10,47,48,On the Amendment S.Amdt. 3023 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,11,43,52,On the Amendment S.Amdt. 3115 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,12,52,43,On the Amendment S.Amdt. 3030 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,13,49,46,On the Amendment S.Amdt. 2996 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,14,45,50,On the Amendment S.Amdt. 3176 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,15,43,52,On the Amendment S.Amdt. 3125 to S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,16,46,50,On the Cloture Motion S.Amdt. 2953 to S. 2012 (Energy Policy Modernization Act of 2015)
2016,114,2,17,43,54,On the Cloture Motion S. 2012
2016,114,2,18,83,0,On the Nomination PN831
2016,114,2,19,90,0,On the Nomination PN915
2016,114,2,20,96,0,On Passage of the Bill H.R. 757
2016,114,2,21,73,22,On the Cloture Motion H.R. 644
2016,114,2,22,75,20,On the Conference Report H.R. 644
2016,114,2,23,93,0,On the Nomination PN675
2016,114,2,24,80,6,On the Cloture Motion PN849
2016,114,2,25,89,4,On the Nomination PN849
2016,114,2,26,93,0,On the Resolution S.Res. 374
2016,114,2,27,89,0,On Cloture on the Motion to Proceed S. 524
2016,114,2,28,94,0,On the Amendment S.Amdt. 3362 to S.Amdt. 3378 to S. 524 (Comprehensive Addiction and Recovery Act of 2016)
2016,114,2,29,46,50,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Wyden Amdt. No. 3395)
2016,114,2,30,48,47,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Shaheen Amdt. No. 3345)
2016,114,2,31,90,0,On the Amendment S.Amdt. 3420 to S.Amdt. 3378 to S. 524 (Comprehensive Addiction and Recovery Act of 2016)
2016,114,2,32,86,3,On the Cloture Motion S.Amdt. 3378 to S. 524 (Comprehensive Addiction and Recovery Act of 2016)
2016,114,2,33,93,3,On the Cloture Motion S. 524
2016,114,2,34,94,1,On Passage of the Bill S. 524
2016,114,2,35,71,24,On the Motion to Table S.J.Res. 31
2016,114,2,36,49,40,On the Nomination PN1152
2016,114,2,37,48,49,On the Cloture Motion S. 764
2016,114,2,38,96,0,On the Resolution S.Res. 377
2016,114,2,39,87,0,On Passage of the Bill S. 1890
2016,114,2,40,98,0,On Cloture on the Motion to Proceed H.R. 636
2016,114,2,41,85,10,On the Amendment S.Amdt. 3512 to S.Amdt. 3464 to H.R. 636 (America's Small Business Tax Relief Act of 2015)
2016,114,2,42,91,5,On the Amendment S.Amdt. 3482 to S.Amdt. 3464 to H.R. 636 (America's Small Business Tax Relief Act of 2015)
2016,114,2,43,42,54,On the Amendment S.Amdt. 3483 to S.Amdt. 3464 to H.R. 636 (America's Small Business Tax Relief Act of 2015)
2016,114,2,44,92,0,On the Nomination PN153
