Year,Congress,Session,Vote_Number,Yeas,Nays,Question
1991,102,1,1,46,53,On the Joint Resolution S.J.Res. 1
1991,102,1,2,52,47,On the Joint Resolution S.J.Res. 2
1991,102,1,3,98,0,On the Concurrent Resolution S.Con.Res. 2
1991,102,1,4,99,0,On Passage of the Bill H.R. 4
1991,102,1,5,99,0,On Passage of the Bill H.R. 3
1991,102,1,6,99,0,On the Concurrent Resolution S.Con.Res. 6
1991,102,1,7,99,0,On the Concurrent Resolution S.Con.Res. 5
1991,102,1,8,99,0,On the Concurrent Resolution S.Con.Res. 4
1991,102,1,9,99,0,On Passage of the Bill H.R. 556
1991,102,1,10,2,97,On the Joint Resolution S.J.Res. 44
1991,102,1,11,94,0,On the Nomination PN64
1991,102,1,12,25,72,On the Amendment S.Amdt. 4 to S.Amdt. 3 to S. 320 (Omnibus Export Amendments Act of 1991)
1991,102,1,13,23,74,On the Motion to Table S.Amdt. 3 to S. 320 (Omnibus Export Amendments Act of 1991)
1991,102,1,14,91,0,On the Amendment S.Amdt. 7 to S. 320 (Omnibus Export Amendments Act of 1991)
1991,102,1,15,38,54,On the Amendment S.Amdt. 5 to S. 320 (Omnibus Export Amendments Act of 1991)
1991,102,1,16,48,47,On the Motion to Table S.Amdt. 11 to S. 347 (Defense Production Act Amendments of 1991)
1991,102,1,17,55,41,On the Motion to Table S.Amdt. 16 to S.Res. 62 (Omnibus Committee Funding Resolution for 1991 and 1992)
1991,102,1,18,56,40,On the Motion to Table S.Amdt. 18 to S.Res. 62 (Omnibus Committee Funding Resolution for 1991 and 1992)
1991,102,1,19,55,41,On the Motion to Table S.Amdt. 20 to S.Res. 62 (Omnibus Committee Funding Resolution for 1991 and 1992)
1991,102,1,20,72,22,On the Resolution S.Res. 62
1991,102,1,21,71,28,On the Motion to Table S.Amdt. 23 to S. 419 (Resolution Trust Corporation Funding Act of 1991)
1991,102,1,22,63,37,On the Motion to Table S.Amdt. 25 to S. 419 (Resolution Trust Corporation Funding Act of 1991)
1991,102,1,23,80,19,On the Motion to Table S.Amdt. 14 to S. 419 (Resolution Trust Corporation Funding Act of 1991)
1991,102,1,24,99,0,On the Nomination PN138
1991,102,1,25,69,30,On Passage of the Bill S. 419
1991,102,1,26,58,38,On the Motion to Table S.Amdt. 33 to S. 578 (Department of Defense Desert Storm Supplemental Authorization and Military Personnel Benefits Act for Fiscal Year 1991)
1991,102,1,27,97,0,On the Resolution S.Res. 76
1991,102,1,28,0,98,On the Motion to Table S.Amdt. 35 to S. 578 (Department of Defense Desert Storm Supplemental Authorization and Military Personnel Benefits Act for Fiscal Year 1991)
1991,102,1,29,98,0,On the Amendment S.Amdt. 36 to S.Amdt. 35 to S. 578 (Department of Defense Desert Storm Supplemental Authorization and Military Personnel Benefits Act for Fiscal Year 1991)
1991,102,1,30,97,1,On Passage of the Bill S. 578
1991,102,1,31,98,1,On Passage of the Bill H.R. 1282
1991,102,1,32,60,40,"On the Amendment S.Amdt. 43 to H.R. 1281 (Dire Emergency Supplemental Appropriations for Consequences of Operation Desert Shield/Desert Storm, Food Stamps, Unemployment Compensation Administration, Veterans Compensation and Pensions, and Other Urgent Needs Act of 1991)"
1991,102,1,33,40,60,"On the Amendment S.Amdt. 45 to H.R. 1281 (Dire Emergency Supplemental Appropriations for Consequences of Operation Desert Shield/Desert Storm, Food Stamps, Unemployment Compensation Administration, Veterans Compensation and Pensions, and Other Urgent Needs Act of 1991)"
1991,102,1,34,52,48,"On the Motion to Table S.Amdt. 48 to H.R. 1281 (Dire Emergency Supplemental Appropriations for Consequences of Operation Desert Shield/Desert Storm, Food Stamps, Unemployment Compensation Administration, Veterans Compensation and Pensions, and Other Urgent Needs Act of 1991)"
1991,102,1,35,37,63,"On the Amendment S.Amdt. 51 to H.R. 1281 (Dire Emergency Supplemental Appropriations for Consequences of Operation Desert Shield/Desert Storm, Food Stamps, Unemployment Compensation Administration, Veterans Compensation and Pensions, and Other Urgent Needs Act of 1991)"
1991,102,1,36,43,57,"On the Motion to Table S.Amdt. 53 to H.R. 1281 (Dire Emergency Supplemental Appropriations for Consequences of Operation Desert Shield/Desert Storm, Food Stamps, Unemployment Compensation Administration, Veterans Compensation and Pensions, and Other Urgent Needs Act of 1991)"
1991,102,1,37,60,40,Whether the Amendment is Germane H.R. 1281
1991,102,1,38,61,39,"On the Motion to Table S.Amdt. 60 to H.R. 1281 (Dire Emergency Supplemental Appropriations for Consequences of Operation Desert Shield/Desert Storm, Food Stamps, Unemployment Compensation Administration, Veterans Compensation and Pensions, and Other Urgent Needs Act of 1991)"
1991,102,1,39,44,56,"On the Motion to Table S.Amdt. 59 to H.R. 1281 (Dire Emergency Supplemental Appropriations for Consequences of Operation Desert Shield/Desert Storm, Food Stamps, Unemployment Compensation Administration, Veterans Compensation and Pensions, and Other Urgent Needs Act of 1991)"
1991,102,1,40,92,8,On Passage of the Bill H.R. 1281
1991,102,1,41,88,12,On the Nomination PN65
1991,102,1,42,98,0,On the Amendment S.Amdt. 68 to S. 207 (Futures Trading Practices Act of 1991)
1991,102,1,43,33,65,On the Amendment S.Amdt. 69 to S. 207 (Futures Trading Practices Act of 1991)
1991,102,1,44,57,41,On the Motion to Table S.Amdt. 71 to S. 207 (Futures Trading Practices Act of 1991)
1991,102,1,45,90,8,On Passage of the Bill H.R. 707
1991,102,1,46,60,38,On the Motion to Table S.Amdt. 74 to S.Con.Res. 29 (No short title on file)
1991,102,1,47,60,37,On the Motion to Table S.Amdt. 78 to S.Con.Res. 29 (No short title on file)
1991,102,1,48,0,95,On the Motion to Table S.Amdt. 80 to S.Con.Res. 29 (No short title on file)
1991,102,1,49,22,73,On the Motion (Motion To Waive Congressional Budget Act)
1991,102,1,50,25,70,On the Amendment S.Amdt. 82 to S.Con.Res. 29 (No short title on file)
1991,102,1,51,30,64,On the Amendment S.Amdt. 84 to S.Con.Res. 29 (No short title on file)
1991,102,1,52,57,38,On the Motion to Table S.Amdt. 76 to S.Con.Res. 29 (No short title on file)
1991,102,1,53,61,37,On the Cloture Motion S. 429
1991,102,1,54,63,35,On the Cloture Motion S. 429
1991,102,1,55,5,92,On the Joint Resolution S.J.Res. 137
1991,102,1,56,97,0,On the Resolution of Ratification Treaty Doc. 96-31
1991,102,1,57,97,0,On the Resolution of Ratification Treaty Doc. 101-7
1991,102,1,58,97,0,On the Resolution of Ratification Treaty Doc. 102-2
1991,102,1,59,97,0,On the Resolution of Ratification Treaty Doc. 88-11
1991,102,1,60,38,58,On the Amendment S.Amdt. 241 to S. 100 (Central American Democracy and Development Act)
1991,102,1,61,87,9,On Passage of the Bill S. 100
1991,102,1,62,70,28,On the Resolution S.Res. 117
1991,102,1,63,50,44,On the Amendment S.Amdt. 244 to S.Amdt. 242 to S. 3 (House of Representatives Campaign Spending Limit and Election Reform Act of 1991)
1991,102,1,64,44,43,On the Amendment S.Amdt. 245 to S.Amdt. 242 to S. 3 (House of Representatives Campaign Spending Limit and Election Reform Act of 1991)
1991,102,1,65,72,24,On the Amendment S.Amdt. 246 to S.Amdt. 242 to S. 3 (House of Representatives Campaign Spending Limit and Election Reform Act of 1991)
1991,102,1,66,49,46,On the Amendment S.Amdt. 249 to S.Amdt. 242 to S. 3 (House of Representatives Campaign Spending Limit and Election Reform Act of 1991)
1991,102,1,67,35,60,On the Motion to Table S.Amdt. 251 to S.Amdt. 250 to S.Amdt. 242 to S. 3
