Year,Congress,Session,Vote_Number,Yeas,Nays,Question
1989,101,1,1,99,0,On the Nomination PN128
1989,101,1,2,99,0,On the Nomination PN133
1989,101,1,3,99,0,On the Nomination PN139
1989,101,1,4,100,0,On the Nomination PN140
1989,101,1,5,100,0,On the Nomination PN132
1989,101,1,6,100,0,On the Nomination PN136
1989,101,1,7,100,0,On the Nomination PN130
1989,101,1,8,100,0,On the Nomination PN142
1989,101,1,9,100,0,On the Nomination PN135
1989,101,1,10,100,0,On the Nomination PN144
1989,101,1,11,95,5,On the Amendment S.Amdt. 2 to S.J.Res. 7 (No short title on file)
1989,101,1,12,94,6,On the Joint Resolution H.J.Res. 129
1989,101,1,13,100,0,On the Nomination PN131
1989,101,1,14,50,47,On the Motion to Table S.Amdt. 7 to S.Res. 66 (Omnibus Committee Funding Resolution for 1989 and 1990)
1989,101,1,15,62,36,On the Motion to Table S.Amdt. 8 to S.Res. 66 (Omnibus Committee Funding Resolution for 1989 and 1990)
1989,101,1,16,98,1,On the Nomination PN134
1989,101,1,17,99,0,On the Nomination PN137
1989,101,1,18,94,0,On the Nomination PN138-1
1989,101,1,19,99,0,On the Nomination PN143
1989,101,1,20,47,53,On the Nomination PN129
1989,101,1,21,97,2,On the Nomination PN141
1989,101,1,22,1,92,On the Motion (Motion To Dismiss Articles I Through XV)
1989,101,1,23,0,93,On the Motion (Motion To Dismiss Article XVII)
1989,101,1,24,97,0,On Passage of the Bill S. 20
1989,101,1,25,97,0,On Passage of the Bill S. 607
1989,101,1,26,92,0,On the Nomination PN216
1989,101,1,27,55,43,On the Motion to Table S.Amdt. 15 to S. 248 (Major Fraud Act Amendments of 1989)
1989,101,1,28,82,16,On Passage of the Bill S. 248
1989,101,1,29,61,39,On the Amendment S.Amdt. 20 to S. 4 (Minimum Wage Restoration Act of 1989)
1989,101,1,30,41,58,On the Amendment S.Amdt. 21 to S. 4 (Minimum Wage Restoration Act of 1989)
1989,101,1,31,86,11,On the Amendment S.Amdt. 22 to S. 4 (Minimum Wage Restoration Act of 1989)
1989,101,1,32,98,0,On the Amendment S.Amdt. 24 to S.Amdt. 23 to S. 4 (Minimum Wage Restoration Act of 1989)
1989,101,1,33,97,1,On the Amendment S.Amdt. 27 to S. 4 (Minimum Wage Restoration Act of 1989)
1989,101,1,34,56,42,On the Motion (Motion To Waive CBA re: Amendment No. 28)
1989,101,1,35,97,2,On the Amendment S.Amdt. 30 to S. 4 (Minimum Wage Restoration Act of 1989)
1989,101,1,36,61,38,On the Motion to Table S.Amdt. 33 to S. 4 (Minimum Wage Restoration Act of 1989)
1989,101,1,37,66,33,On the Motion to Table S.Amdt. 39 to S. 4 (Minimum Wage Restoration Act of 1989)
1989,101,1,38,43,56,On the Motion to Recommit S. 4
1989,101,1,39,62,37,On Passage of the Bill H.R. 2
1989,101,1,40,70,28,On the Motion to Table S.Amdt. 43 to S. 760 (No short title on file)
1989,101,1,41,72,26,On the Motion to Table S.Amdt. 44 to S. 760 (No short title on file)
1989,101,1,42,73,25,On the Motion to Table S.Amdt. 45 to S. 760 (No short title on file)
1989,101,1,43,98,0,On the Motion to Table S.Amdt. 46 to S. 760 (No short title on file)
1989,101,1,44,89,9,On Passage of the Bill H.R. 1750
1989,101,1,45,98,0,On the Amendment S.Amdt. 49 to S. 774 (Enforcement Authority Improvements Act of 1989)
1989,101,1,46,66,32,On the Motion to Table S.Amdt. 50 to S. 774 (Enforcement Authority Improvements Act of 1989)
