Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2009,111,1,1,66,12,On the Cloture Motion S. 22
2009,111,1,2,68,24,On the Cloture Motion S. 22
2009,111,1,3,73,21,On Passage of the Bill S. 22
2009,111,1,4,72,23,On the Cloture Motion S. 181
2009,111,1,5,42,52,On the Joint Resolution S.J.Res. 5
2009,111,1,6,94,2,On the Nomination PN64-1
2009,111,1,7,40,55,On the Amendment S.Amdt. 25 to S. 181 (Lilly Ledbetter Fair Pay Act of 2009)
2009,111,1,8,53,43,On the Motion to Table S.Amdt. 26 to S. 181 (Lilly Ledbetter Fair Pay Act of 2009)
2009,111,1,9,55,39,On the Motion to Table S.Amdt. 27 to S. 181 (Lilly Ledbetter Fair Pay Act of 2009)
2009,111,1,10,55,41,On the Motion to Table S.Amdt. 28 to S. 181 (Lilly Ledbetter Fair Pay Act of 2009)
2009,111,1,11,66,31,On the Motion to Table S.Amdt. 31 to S. 181 (Lilly Ledbetter Fair Pay Act of 2009)
2009,111,1,12,59,38,On the Motion to Table S.Amdt. 37 to S. 181 (Lilly Ledbetter Fair Pay Act of 2009)
2009,111,1,13,59,38,On the Motion to Table S.Amdt. 34 to S. 181 (Lilly Ledbetter Fair Pay Act of 2009)
2009,111,1,14,61,36,On Passage of the Bill S. 181
2009,111,1,15,60,34,On the Nomination PN64-6
2009,111,1,16,60,37,On the Motion to Table S.Amdt. 43 to S.Amdt. 39 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,17,96,1,On the Nomination PN65-17
2009,111,1,18,32,65,On the Amendment S.Amdt. 40 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,19,37,60,On the Amendment S.Amdt. 65 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,20,64,33,On the Motion to Table S.Amdt. 67 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,21,36,60,On the Amendment S.Amdt. 75 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,22,42,56,On the Amendment S.Amdt. 46 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,23,47,51,On the Amendment S.Amdt. 77 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,24,36,62,On the Amendment S.Amdt. 47 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,25,54,44,On the Motion to Table S.Amdt. 74 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,26,39,59,On the Amendment S.Amdt. 80 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,27,40,58,On the Amendment S.Amdt. 85 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,28,36,62,On the Amendment S.Amdt. 86 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,29,55,43,On the Amendment S.Amdt. 63 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,30,17,81,On the Amendment S.Amdt. 93 to H.R. 2 (Children's Health Insurance Program Reauthorization Act of 2009)
2009,111,1,31,66,32,On Passage of the Bill H.R. 2
2009,111,1,32,75,21,On the Nomination PN64-7
2009,111,1,33,58,39,On the Motion (Motion to Waive CBA Re: Murray Amdt. No. 110 Emergency Designation)
2009,111,1,34,52,45,On the Amendment S.Amdt. 109 to S.Amdt. 98 to H.R. 1 (American Recovery and Reinvestment Act of 2009)
