Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2007,110,1,1,88,0,On the Resolution S.Res. 19
2007,110,1,2,93,2,On the Amendment S.Amdt. 7 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,3,56,40,On the Motion to Table S.Amdt. 5 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,4,54,41,On the Motion to Table S.Amdt. 6 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,5,46,51,On the Motion to Table S.Amdt. 11 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,6,25,72,On the Motion (Motion to Waive CBA DeMint Amdt. No. 13)
2007,110,1,7,90,6,On the Motion (Motion to Instruct Sgt. at Arms)
2007,110,1,8,87,0,On the Amendment S.Amdt. 1 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,9,81,6,On the Amendment S.Amdt. 10 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,10,98,0,On the Amendment S.Amdt. 44 to S.Amdt. 11 to S.Amdt. 3 to S. 1
2007,110,1,11,98,0,On the Amendment S.Amdt. 11 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,12,95,2,On the Cloture Motion S.Amdt. 4 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,13,89,5,On the Amendment S.Amdt. 65 to S.Amdt. 4 to S.Amdt. 3 to S. 1
2007,110,1,14,51,46,On the Amendment S.Amdt. 81 to S.Amdt. 4 to S.Amdt. 3 to S. 1
2007,110,1,15,88,9,On the Amendment S.Amdt. 4 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,16,51,46,On the Cloture Motion S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,17,55,43,On the Amendment S.Amdt. 20 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,18,27,71,On the Amendment S.Amdt. 30 to S.Amdt. 3 to S. 1 (No short title on file)
2007,110,1,19,96,2,On Passage of the Bill S. 1
2007,110,1,20,99,0,On the Amendment S.Amdt. 103 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,21,98,0,On the Amendment S.Amdt. 106 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,22,49,48,On the Cloture Motion S.Amdt. 101 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,23,54,43,On the Cloture Motion H.R. 2
2007,110,1,24,28,69,On the Amendment S.Amdt. 116 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,25,18,76,On the Motion (Motion to Waive Re: DeMint Amdt. No. 158)
2007,110,1,26,47,48,"On the Motion (Motion to Waive CBA, Ensign Amdt. No. 154)"
2007,110,1,27,93,0,On the Amendment S.Amdt. 207 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,28,42,51,"On the Motion (Motion to Waive CBA, Bunning Amdt. No. 119)"
2007,110,1,29,90,0,On the Amendment S.Amdt. 206 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,30,43,50,"On the Motion (Motion to Waive CBA, Smith Amdt. No. 113,  As Amended)"
2007,110,1,31,94,0,On the Amendment S.Amdt. 148 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,32,50,42,On the Motion to Table S.Amdt. 205 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,33,81,0,On the Nomination PN178
2007,110,1,34,87,10,On the Motion (Motion to Invoke Cloture on the Baucus Amdt. No. 100)
2007,110,1,35,97,0,On the Nomination PN31
2007,110,1,36,97,0,On the Nomination PN17
2007,110,1,37,49,48,On the Motion to Table S.Amdt. 209 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007)
2007,110,1,38,46,50,On the Motion (Motion to Waive C.B.A. Re: Kyl Amdt. No. 115)
2007,110,1,39,88,8,"On the Motion (Motion to Invoke Cloture on H.R.2, As Amended)"
2007,110,1,40,97,0,On the Nomination PN24
2007,110,1,41,99,0,On the Nomination PN16
2007,110,1,42,94,3,On Passage of the Bill H.R. 2
2007,110,1,43,0,97,On the Motion (Motion to Invoke Cloture on the Motion to Proceed to S.Con.Res.2)
2007,110,1,44,49,47,On the Cloture Motion S. 470
2007,110,1,45,83,14,On the Nomination PN177
2007,110,1,46,71,26,On the Motion (Motion to Invoke Cloture on H.J.Res. 20)
2007,110,1,47,96,0,On the Nomination PN15
2007,110,1,48,81,15,On the Joint Resolution H.J.Res. 20
2007,110,1,49,94,0,On the Nomination PN183
2007,110,1,50,93,0,On the Nomination PN18
2007,110,1,51,56,34,On the Cloture Motion S. 574
2007,110,1,52,47,33,On Passage of the Bill H.Con.Res. 67
2007,110,1,53,97,0,On the Cloture Motion S. 4
2007,110,1,54,58,37,On the Amendment S.Amdt. 285 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,55,94,2,On the Amendment S.Amdt. 279 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,56,58,38,On the Motion to Table S.Amdt. 298 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,57,82,0,On the Amendment S.Amdt. 292 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,58,82,1,On the Amendment S.Amdt. 280 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,59,87,1,On the Nomination PN104
2007,110,1,60,51,46,On the Motion to Table S.Amdt. 314 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,61,56,43,On the Motion to Table S.Amdt. 335 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,62,58,41,On the Motion to Table S.Amdt. 338 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,63,49,50,On the Amendment S.Amdt. 333 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,64,51,48,On the Amendment S.Amdt. 316 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,65,47,52,On the Amendment S.Amdt. 342 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,66,71,25,On the Motion to Table S.Amdt. 345 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,67,95,0,On the Nomination PN19
2007,110,1,68,46,49,On the Cloture Motion S.Amdt. 312 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,69,69,26,On the Cloture Motion S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,70,60,38,On the Motion to Table S.Amdt. 294 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,71,66,31,On the Motion to Table S.Amdt. 325 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,72,73,25,On the Motion to Table S.Amdt. 383 to S.Amdt. 275 to S. 4 (Improving America's Security Act of 2007)
2007,110,1,73,60,38,On Passage of the Bill S. 4
2007,110,1,74,89,9,On the Cloture Motion S.J.Res. 9
2007,110,1,75,48,50,On the Joint Resolution S.J.Res. 9
2007,110,1,76,96,2,On the Resolution S.Res. 107
2007,110,1,77,82,16,On the Concurrent Resolution S.Con.Res. 20
2007,110,1,78,95,0,On the Nomination PN8
2007,110,1,79,40,56,On the Amendment S.Amdt. 459 to S. 214 (Preserving United States Attorney Independence Act of 2007)
2007,110,1,80,47,50,On the Amendment S.Amdt. 460 to S. 214 (Preserving United States Attorney Independence Act of 2007)
2007,110,1,81,94,2,On Passage of the Bill S. 214
2007,110,1,82,97,1,On the Amendment S.Amdt. 492 to S.Con.Res. 21 (No short title on file)
2007,110,1,83,47,51,On the Amendment S.Amdt. 507 to S.Con.Res. 21 (No short title on file)
2007,110,1,84,63,35,On the Amendment S.Amdt. 477 to S.Con.Res. 21 (No short title on file)
2007,110,1,85,46,52,On the Amendment S.Amdt. 466 to S.Con.Res. 21 (No short title on file)
2007,110,1,86,47,51,On the Amendment S.Amdt. 476 to S.Con.Res. 21 (No short title on file)
2007,110,1,87,98,0,On the Amendment S.Amdt. 483 to S.Con.Res. 21 (No short title on file)
2007,110,1,88,97,1,On the Amendment S.Amdt. 486 to S.Con.Res. 21 (No short title on file)
2007,110,1,89,45,52,On the Amendment S.Amdt. 489 to S.Con.Res. 21 (No short title on file)
2007,110,1,90,33,64,On the Amendment S.Amdt. 491 to S.Con.Res. 21 (No short title on file)
2007,110,1,91,38,59,On the Amendment S.Amdt. 511 to S.Con.Res. 21 (No short title on file)
2007,110,1,92,23,74,On the Amendment S.Amdt. 525 to S.Con.Res. 21 (No short title on file)
2007,110,1,93,44,52,On the Amendment S.Amdt. 472 to S.Con.Res. 21 (No short title on file)
2007,110,1,94,38,58,On the Amendment S.Amdt. 545 to S.Con.Res. 21 (No short title on file)
2007,110,1,95,47,49,On the Amendment S.Amdt. 497 to S.Con.Res. 21 (No short title on file)
2007,110,1,96,29,67,On the Amendment S.Amdt. 498 to S.Con.Res. 21 (No short title on file)
2007,110,1,97,54,42,On the Amendment S.Amdt. 598 to S.Con.Res. 21 (No short title on file)
2007,110,1,98,42,53,On the Amendment S.Amdt. 577 to S.Con.Res. 21 (No short title on file)
2007,110,1,99,38,61,On the Amendment S.Amdt. 513 to S.Con.Res. 21 (No short title on file)
2007,110,1,100,46,53,On the Amendment S.Amdt. 473 to S.Con.Res. 21 (No short title on file)
2007,110,1,101,25,74,On the Amendment S.Amdt. 626 to S.Con.Res. 21 (No short title on file)
2007,110,1,102,48,51,On the Amendment S.Amdt. 583 to S.Con.Res. 21 (No short title on file)
2007,110,1,103,49,50,On the Amendment S.Amdt. 508 to S.Con.Res. 21 (No short title on file)
2007,110,1,104,39,60,On the Motion (Motion to Waive CBA Re: Allard Amendment No. 521)
2007,110,1,105,59,40,On the Amendment S.Amdt. 510 to S.Con.Res. 21 (No short title on file)
2007,110,1,106,39,59,On the Amendment S.Amdt. 515 to S.Con.Res. 21 (No short title on file)
2007,110,1,107,46,52,On the Amendment S.Amdt. 478 to S.Con.Res. 21 (No short title on file)
2007,110,1,108,44,53,On the Amendment S.Amdt. 471 to S.Con.Res. 21 (No short title on file)
2007,110,1,109,44,55,On the Amendment S.Amdt. 578 to S.Con.Res. 21 (No short title on file)
2007,110,1,110,65,33,On the Amendment S.Amdt. 529 to S.Con.Res. 21 (No short title on file)
2007,110,1,111,44,55,On the Amendment S.Amdt. 594 to S.Con.Res. 21 (No short title on file)
2007,110,1,112,44,55,On the Amendment S.Amdt. 536 to S.Con.Res. 21 (No short title on file)
2007,110,1,113,49,50,On the Amendment S.Amdt. 606 to S.Con.Res. 21 (No short title on file)
2007,110,1,114,52,47,On the Resolution S.Con.Res. 21
2007,110,1,115,95,0,On the Nomination PN33
2007,110,1,116,48,50,"On the Amendment S.Amdt. 643 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,117,97,0,On the Cloture Motion H.R. 1591
2007,110,1,118,74,23,"On the Amendment S.Amdt. 709 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,119,8,89,"On the Amendment S.Amdt. 716 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,120,23,74,"On the Amendment S.Amdt. 657 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,121,45,51,"On the Amendment S.Amdt. 648 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,122,93,0,"On the Amendment S.Amdt. 752 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,123,97,0,"On the Amendment S.Amdt. 704 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,124,98,0,"On the Amendment S.Amdt. 739 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,125,57,41,"Whether the Amendment is Germane S.Amdt. 641 to H.R. 1591 (U.S. Troop Readiness, Veterans' Health, and Iraq Accountability Act, 2007)"
2007,110,1,126,51,47,On Passage of the Bill H.R. 1591
2007,110,1,127,63,34,On Passage of the Bill S. 5
2007,110,1,128,70,28,On Passage of the Bill S. 30
2007,110,1,129,94,3,On the Cloture Motion S. 372
2007,110,1,130,41,40,On the Cloture Motion S. 372
2007,110,1,131,50,45,On the Cloture Motion S. 372
2007,110,1,132,55,42,On the Cloture Motion S. 3
2007,110,1,133,93,3,On the Cloture Motion S. 378
2007,110,1,134,59,38,On the Motion to Table S.Amdt. 891 to S. 378 (Court Security Improvement Act of 2007)
2007,110,1,135,97,0,On Passage of the Bill S. 378
2007,110,1,136,95,0,On the Nomination PN26
2007,110,1,137,96,0,On the Amendment S.Amdt. 929 to S. 761 (No short title on file)
2007,110,1,138,97,0,On the Amendment S.Amdt. 947 to S. 761 (No short title on file)
2007,110,1,139,62,35,On the Motion to Table S.Amdt. 928 to S. 761 (No short title on file)
2007,110,1,140,54,43,On the Motion to Table S.Amdt. 917 to S. 761 (No short title on file)
2007,110,1,141,24,74,On the Amendment S.Amdt. 938 to S. 761 (No short title on file)
2007,110,1,142,22,71,On the Amendment S.Amdt. 930 to S. 761 (No short title on file)
2007,110,1,143,27,67,On the Amendment S.Amdt. 918 to S. 761 (No short title on file)
2007,110,1,144,39,57,On the Amendment S.Amdt. 921 to S. 761 (No short title on file)
2007,110,1,145,82,14,On the Amendment S.Amdt. 922 to S. 761 (No short title on file)
2007,110,1,146,88,8,On Passage of the Bill S. 761
2007,110,1,147,51,46,On the Conference Report H.R. 1591
2007,110,1,148,41,53,On the Amendment S.Amdt. 982 to S. 1082 (Prescription Drug User Fee Amendments of 2007)
2007,110,1,149,94,0,On the Amendment S.Amdt. 1022 to S. 1082 (Prescription Drug User Fee Amendments of 2007)
2007,110,1,150,63,28,On the Cloture Motion S.Amdt. 990 to S. 1082 (Prescription Drug User Fee Amendments of 2007)
2007,110,1,151,49,40,On the Amendment S.Amdt. 1010 to S.Amdt. 990 to S. 1082 (Prescription Drug User Fee Amendments of 2007)
2007,110,1,152,82,8,On the Cloture Motion S. 1082
2007,110,1,153,91,0,On the Nomination PN20
2007,110,1,154,46,47,On the Amendment S.Amdt. 1039 to S. 1082 (Prescription Drug User Fee Amendments of 2007)
2007,110,1,155,64,30,On the Amendment S.Amdt. 998 to S. 1082 (Prescription Drug User Fee Amendments of 2007)
2007,110,1,156,47,47,On the Amendment S.Amdt. 1034 to S. 1082 (Prescription Drug User Fee Amendments of 2007)
2007,110,1,157,93,1,On Passage of the Bill S. 1082
2007,110,1,158,91,0,On the Nomination PN11
2007,110,1,159,54,41,On the Motion (Kyl Motion to Instruct Conferees Re: S. Con. Res. 21)
2007,110,1,160,51,44,On the Motion (Conrad Motion to Instruct Conferees Re:  S. Con. Res.21)
2007,110,1,161,44,51,On the Motion (Gregg Motion to Instruct Conferees Re: S. Con. Res. 21)
2007,110,1,162,89,7,On the Cloture Motion H.R. 1495
2007,110,1,163,12,77,On the Amendment S.Amdt. 1090 to S.Amdt. 1065 to H.R. 1495 (Water Resources Development Act of 2007)
2007,110,1,164,11,79,On the Amendment S.Amdt. 1089 to S.Amdt. 1065 to H.R. 1495 (Water Resources Development Act of 2007)
2007,110,1,165,22,69,On the Amendment S.Amdt. 1086 to S.Amdt. 1065 to H.R. 1495 (Water Resources Development Act of 2007)
2007,110,1,166,51,42,On the Amendment S.Amdt. 1094 to S.Amdt. 1065 to H.R. 1495 (Water Resources Development Act of 2007)
2007,110,1,167,29,67,On the Cloture Motion S.Amdt. 1098 to S.Amdt. 1097 to H.R. 1495 (Water Resources Development Act of 2007)
2007,110,1,168,52,44,On the Cloture Motion S.Amdt. 1134 to H.R. 1495 (Water Resources Development Act of 2007)
2007,110,1,169,87,9,On the Cloture Motion S.Amdt. 1135 to H.R. 1495 (Water Resources Development Act of 2007)
