Year,Congress,Session,Vote_Number,Yeas,Nays,Question
1992,102,2,1,93,0,On the Cloture Motion S. 2
1992,102,2,2,96,0,On the Amendment S.Amdt. 1473 to S. 2 (Neighborhood Schools Improvement Act Neighborhood Schools Improvement Programs Act Flexibility for Education Effectiveness Act of 1992)
1992,102,2,3,95,0,On the Amendment S.Amdt. 1474 to S. 2 (Neighborhood Schools Improvement Act Neighborhood Schools Improvement Programs Act Flexibility for Education Effectiveness Act of 1992)
1992,102,2,4,38,55,On the Amendment S.Amdt. 1478 to S.Amdt. 1477 to S. 2 (Neighborhood Schools Improvement Act Neighborhood Schools Improvement Programs Act Flexibility for Education Effectiveness Act of 1992)
1992,102,2,5,36,57,On the Amendment S.Amdt. 1476 to S. 2 (Neighborhood Schools Improvement Act Neighborhood Schools Improvement Programs Act Flexibility for Education Effectiveness Act of 1992)
1992,102,2,6,55,37,On the Motion to Table S.Amdt. 1480 to S. 2 (Neighborhood Schools Improvement Act Neighborhood Schools Improvement Programs Act Flexibility for Education Effectiveness Act of 1992)
1992,102,2,7,55,43,On the Motion to Table S.Amdt. 1479 to S. 2 (Neighborhood Schools Improvement Act Neighborhood Schools Improvement Programs Act Flexibility for Education Effectiveness Act of 1992)
1992,102,2,8,45,53,On the Motion (Motion To Waive)
1992,102,2,9,92,6,On Passage of the Bill S. 2
1992,102,2,10,33,64,On the Motion to Table S.Amdt. 1503 to S.Amdt. 1502 to S. 12 (Cable Television Consumer Protection and Competition Act of 1992)
1992,102,2,11,96,0,On the Resolution S.Res. 248
1992,102,2,12,95,0,On the Amendment S.Amdt. 1514 to S. 12 (Cable Television Consumer Protection and Competition Act of 1992)
1992,102,2,13,35,54,On the Amendment S.Amdt. 1522 to S. 12 (Cable Television Consumer Protection and Competition Act of 1992)
1992,102,2,14,73,18,On Passage of the Bill S. 12
1992,102,2,15,90,5,On the Cloture Motion S. 2166
1992,102,2,16,88,8,On the Motion (Motion To Waive)
1992,102,2,17,94,2,On Passage of the Bill H.R. 4095
1992,102,2,18,57,39,On the Motion to Table S.Amdt. 1530 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,19,96,0,On the Amendment S.Amdt. 1570 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,20,52,43,On the Motion to Table S.Amdt. 1576 to S.Amdt. 1575 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,21,60,35,On the Motion to Table S.Amdt. 1641 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,22,41,57,On the Amendment S.Amdt. 1642 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,23,58,40,On the Motion to Table S.Amdt. 1644 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,24,53,45,On the Amendment S.Amdt. 1647 to S.Amdt. 1646 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,25,51,47,On the Motion to Table S.Amdt. 1648 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,26,63,35,On the Motion to Table S.Amdt. 1649 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,27,64,34,On the Motion to Table S.Amdt. 1650 to S. 2166 (National Energy Security Act of 1992)
1992,102,2,28,94,4,On Passage of the Bill S. 2166
1992,102,2,29,91,3,On the Amendment S.Amdt. 1691 to S. 1150 (National Independent Colleges and Universities Discovery Act Higher Education Amendments of 1992)
1992,102,2,30,93,1,On Passage of the Bill S. 1150
1992,102,2,31,59,39,On the Conference Report H.R. 2212
1992,102,2,32,98,0,On the Cloture Motion S. 479
1992,102,2,33,44,54,On the Motion (Motion To Waive)
1992,102,2,34,96,1,On Passage of the Bill S. 479
1992,102,2,35,58,39,On the Cloture Motion H.R. 1426
1992,102,2,36,87,7,On the Cloture Motion S. 1504
1992,102,2,37,82,6,On Passage of the Bill S. 792
1992,102,2,38,61,36,On the Motion to Table S.Amdt. 1708 to H.R. 4210 (Tax Fairness and Economic Growth Act of 1992)
1992,102,2,39,37,60,On the Motion (Motion To Waive CBA)
1992,102,2,40,57,38,On the Motion to Table S.Amdt. 1712 to H.R. 4210 (Tax Fairness and Economic Growth Act of 1992)
1992,102,2,41,95,2,On the Amendment S.Amdt. 1714 to H.R. 4210 (Tax Fairness and Economic Growth Act of 1992)
1992,102,2,42,36,62,On the Motion to Table S.Amdt. 1719 to H.R. 4210 (Tax Fairness and Economic Growth Act of 1992)
1992,102,2,43,46,51,On the Motion (Motion to Waive CBA)
1992,102,2,44,37,58,On the Motion (Motion To Waive CBA - Sec. 306)
1992,102,2,45,53,42,On the Motion to Table S.Amdt. 1723 to H.R. 4210 (Tax Fairness and Economic Growth Act of 1992)
1992,102,2,46,33,62,On the Motion to Table S.Amdt. 1725 to H.R. 4210 (Tax Fairness and Economic Growth Act of 1992)
1992,102,2,47,62,35,On the Motion to Table S.Amdt. 1727 to H.R. 4210 (Tax Fairness and Economic Growth Act of 1992)
1992,102,2,48,36,61,On the Motion (Motion To Waive CBA)
1992,102,2,49,45,53,On the Motion (Motion To Waive CBA)
1992,102,2,50,43,55,On the Motion (Motion To Waive CBA)
1992,102,2,51,50,47,On Passage of the Bill H.R. 4210
1992,102,2,52,60,38,On Overriding the Veto H.R. 2212
1992,102,2,53,54,43,On the Cloture Motion H.R. 3371
1992,102,2,54,50,44,On the Conference Report H.R. 4210
1992,102,2,55,75,22,On Passage of the Bill S. 1696
1992,102,2,56,50,48,On the Cloture Motion S. 2399
1992,102,2,57,45,48,On the Motion (Motion To Waive Section 306 Of CBA)
1992,102,2,58,58,36,On the Motion to Table S.Amdt. 1744 to S. 2482 (Resolution Trust Corporation Funding Act of 1992)
1992,102,2,59,52,42,On Passage of the Bill S. 2482
1992,102,2,60,98,2,On the Cloture Motion H.R. 2507
1992,102,2,61,23,77,On the Amendment S.Amdt. 1749 to H.R. 2507 (National Institutes of Health Revitalization Amendments of 1991)
1992,102,2,62,84,16,On the Joint Resolution H.J.Res. 456
1992,102,2,63,99,1,On the Resolution S.Res. 277
1992,102,2,64,57,40,On the Amendment S.Amdt. 1756 to H.R. 2507 (National Institutes of Health Revitalization Amendments of 1991)
1992,102,2,65,51,46,On the Amendment S.Amdt. 1757 to H.R. 2507 (National Institutes of Health Revitalization Amendments of 1991)
1992,102,2,66,87,10,On Passage of the Bill H.R. 2507
1992,102,2,67,87,11,On the Concurrent Resolution H.Con.Res. 292
1992,102,2,68,94,3,On the Amendment S.Amdt. 1761 to S.Con.Res. 106 (No short title on file)
1992,102,2,69,45,50,On the Amendment S.Amdt. 1763 to S.Con.Res. 106 (No short title on file)
1992,102,2,70,36,62,On the Amendment S.Amdt. 1765 to S.Con.Res. 106 (No short title on file)
1992,102,2,71,84,11,On the Amendment S.Amdt. 1767 to S.Amdt. 1766 to S.Con.Res. 106 (No short title on file)
1992,102,2,72,63,32,On the Motion (Motion To Waive)
1992,102,2,73,53,40,On the Motion to Table S.Amdt. 1768 to S.Con.Res. 106 (No short title on file)
1992,102,2,74,52,42,On the Amendment S.Amdt. 1769 to S.Con.Res. 106 (No short title on file)
1992,102,2,75,66,28,On the Amendment S.Amdt. 1779 to S.Amdt. 1778 to S.Amdt. 1777 to S.Con.Res. 106
1992,102,2,76,93,0,On the Amendment S.Amdt. 1780 to S.Con.Res. 106 (No short title on file)
1992,102,2,77,45,45,On the Point of Order S.Amdt. 1784 to S.Con.Res. 106 (No short title on file)
1992,102,2,78,43,47,On the Amendment S.Amdt. 1784 to S.Con.Res. 106 (No short title on file)
1992,102,2,79,29,61,On the Motion (Motion To Waive CBA Re: Grassley Amendment No. 1785)
1992,102,2,80,54,35,On the Motion (Motion To Strike And Insert)
1992,102,2,81,75,22,On the Conference Report H.R. 3337
1992,102,2,82,58,42,On the Conference Report S. 3
1992,102,2,83,46,52,On the Amendment S.Amdt. 1791 to S. 2403 (No short title on file)
1992,102,2,84,43,55,On the Amendment S.Amdt. 1793 to S. 2403 (No short title on file)
1992,102,2,85,61,38,On the Amendment S. 2403
1992,102,2,86,61,38,On the Cloture Motion S. 250
1992,102,2,87,58,40,On the Cloture Motion S. 250
1992,102,2,88,57,42,On Overriding the Veto S. 3
1992,102,2,89,53,45,On the Motion to Table S.Amdt. 1799 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,90,37,57,On the Amendment S.Amdt. 1821 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,91,55,40,On the Motion to Table S.Amdt. 1825 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,92,57,39,On the Motion to Table S.Amdt. 1827 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,93,61,36,On the Motion to Table S.Amdt. 1828 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,94,55,41,On the Motion to Table S.Amdt. 1829 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,95,57,39,On the Motion to Table S.Amdt. 1830 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,96,54,42,On the Motion to Table S.Amdt. 1831 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,97,56,40,On the Motion to Table S.Amdt. 1833 to S. 250 (National Voter Registration Act of 1991)
1992,102,2,98,61,38,On Passage of the Bill S. 250
1992,102,2,99,99,0,On the Concurrent Resolution S.Con.Res. 120
1992,102,2,100,99,0,On the Resolution S.Res. 298
1992,102,2,101,59,40,"On the Amendment S.Amdt. 1838 to H.R. 5132 (Dire Emergency Supplemental Appropriations Act, 1992, for Disaster Assistance To Meet Urgent Needs Because of Calamities such as Those Which Occurred in Los Angeles and Chicago)"
1992,102,2,102,45,52,"On the Amendment S.Amdt. 1850 to H.R. 5132 (Dire Emergency Supplemental Appropriations Act, 1992, for Disaster Assistance To Meet Urgent Needs Because of Calamities such as Those Which Occurred in Los Angeles and Chicago)"
1992,102,2,103,68,28,"On the Amendment S.Amdt. 1848 to H.R. 5132 (Dire Emergency Supplemental Appropriations Act, 1992, for Disaster Assistance To Meet Urgent Needs Because of Calamities such as Those Which Occurred in Los Angeles and Chicago)"
1992,102,2,104,99,0,On Passage of the Bill S. 2743
