Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2014,113,2,1,56,26,On the Nomination PN921
2014,113,2,2,60,37,On Cloture on the Motion to Proceed S. 1845
2014,113,2,3,42,54,On the Motion to Table S. 1845
2014,113,2,4,53,41,On the Motion to Proceed PN529
2014,113,2,5,54,40,On the Motion to Reconsider PN529
2014,113,2,6,55,38,On the Cloture Motion PN529
2014,113,2,7,55,43,On the Nomination PN529
2014,113,2,8,45,55,On the Motion to Table S. 1845
2014,113,2,9,52,48,On the Cloture Motion S.Amdt. 2631 to S. 1845 (Emergency Unemployment Compensation Extension Act)
2014,113,2,10,55,45,On the Cloture Motion S. 1845
2014,113,2,11,86,14,On the Joint Resolution H.J.Res. 106
2014,113,2,12,72,26,On the Cloture Motion H.R. 3547
2014,113,2,13,72,26,On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3547)
2014,113,2,14,86,13,On Cloture on the Motion to Proceed S. 1926
2014,113,2,15,64,35,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: S. 1926)
2014,113,2,16,34,65,On the Amendment S.Amdt. 2707 to S. 1926 (No short title on file)
2014,113,2,17,24,75,On the Amendment S.Amdt. 2697 to S. 1926 (No short title on file)
2014,113,2,18,49,50,On the Amendment S.Amdt. 2700 to S. 1926 (No short title on file)
2014,113,2,19,67,32,On Passage of the Bill S. 1926
2014,113,2,20,72,22,On the Cloture Motion H.R. 2642
2014,113,2,21,68,32,On the Conference Report H.R. 2642
2014,113,2,22,98,0,On the Motion to Table S.Amdt. 2631 to S. 1845 (Emergency Unemployment Compensation Extension Act)
2014,113,2,23,58,40,On the Cloture Motion S.Amdt. 2714 to S. 1845 (Emergency Unemployment Compensation Extension Act)
2014,113,2,24,55,43,On the Cloture Motion S. 1845
2014,113,2,25,96,0,On the Nomination PN1295
2014,113,2,26,94,0,On Cloture on the Motion to Proceed S. 1963
2014,113,2,27,90,8,On the Nomination PN1096
2014,113,2,28,97,1,On the Nomination PN1097
2014,113,2,29,92,6,On the Nomination PN1100
2014,113,2,30,98,0,On the Nomination PN1114
2014,113,2,31,98,0,On the Nomination PN1178
2014,113,2,32,97,0,On the Nomination PN1119
2014,113,2,33,67,31,On the Cloture Motion S. 540
2014,113,2,34,55,43,On the Motion (Motion to Concur in the House Amendment to S.540)
2014,113,2,35,95,3,On the Motion (Motion to Concur in the House Amendment to S.25)
2014,113,2,36,55,37,On the Cloture Motion PN1192
