Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2012,112,2,1,74,16,On the Nomination PN468
2012,112,2,2,44,52,On the Motion to Proceed H.J.Res. 98
2012,112,2,3,93,2,On Cloture on the Motion to Proceed S. 2038
2012,112,2,4,37,61,On the Amendment S.Amdt. 1484 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,5,48,51,On the Amendment S.Amdt. 1487 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,6,81,18,On the Amendment S.Amdt. 1511 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,7,58,41,On the Amendment S.Amdt. 1491 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,8,40,59,On the Amendment S.Amdt. 1472 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,9,26,73,On the Amendment S.Amdt. 1500 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,10,60,39,On the Amendment S.Amdt. 1473 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,11,24,75,On the Amendment S.Amdt. 1488 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,12,60,39,On the Amendment S.Amdt. 1493 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,13,26,73,On the Amendment S.Amdt. 1481 to S.Amdt. 1470 to S. 2038 (Stop Trading on Congressional Knowledge Act of 2012)
2012,112,2,14,96,3,On Passage of the Bill S. 2038
2012,112,2,15,75,20,On the Conference Report H.R. 658
2012,112,2,16,90,6,On the Nomination PN524
2012,112,2,17,85,11,On Cloture on the Motion to Proceed S. 1813
2012,112,2,18,89,5,On the Cloture Motion PN864
2012,112,2,19,94,5,On the Nomination PN864
2012,112,2,20,54,42,On the Cloture Motion S.Amdt. 1633 to S. 1813 (MAP-21)
2012,112,2,21,62,34,On the Nomination PN632
2012,112,2,22,60,36,On the Conference Report H.R. 3630
2012,112,2,23,86,2,On the Nomination PN631
2012,112,2,24,51,48,On the Motion to Table S.Amdt. 1520 to S.Amdt. 1730 to S. 1813 (MAP-21)
2012,112,2,25,52,44,On the Cloture Motion S.Amdt. 1761 to S. 1813 (MAP-21)
2012,112,2,26,95,2,On the Nomination PN634
2012,112,2,27,93,4,On the Nomination PN736
2012,112,2,28,43,55,On the Amendment S.Amdt. 1535 to S. 1813 (MAP-21)
2012,112,2,29,82,16,On the Amendment S.Amdt. 1825 to S. 1813 (MAP-21)
2012,112,2,30,52,46,On the Amendment S.Amdt. 1660 to S. 1813 (MAP-21)
2012,112,2,31,52,46,On the Amendment S.Amdt. 1738 to S. 1813 (MAP-21)
2012,112,2,32,76,22,On the Amendment S.Amdt. 1822 to S. 1813 (MAP-21)
2012,112,2,33,33,65,On the Amendment S.Amdt. 1817 to S. 1813 (MAP-21)
2012,112,2,34,56,42,On the Amendment S.Amdt. 1537 to S. 1813 (MAP-21)
2012,112,2,35,66,31,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: S.1813)
2012,112,2,36,30,67,On the Amendment S.Amdt. 1756 to S. 1813 (MAP-21)
2012,112,2,37,50,47,On the Amendment S.Amdt. 1759 to S. 1813 (MAP-21)
2012,112,2,38,41,57,On the Amendment S.Amdt. 1826 to S. 1813 (MAP-21)
2012,112,2,39,49,49,On the Amendment S.Amdt. 1812 to S. 1813 (MAP-21)
2012,112,2,40,26,72,On the Amendment S.Amdt. 1589 to S. 1813 (MAP-21)
2012,112,2,41,51,47,On the Amendment S.Amdt. 1782 to S. 1813 (MAP-21)
2012,112,2,42,28,70,On the Amendment S.Amdt. 1517 to S. 1813 (MAP-21)
2012,112,2,43,30,68,On the Amendment S.Amdt. 1736 to S. 1813 (MAP-21)
2012,112,2,44,40,58,"On the Motion (Motion to Waive All Applicable Budgetary Provisions Re: Corker Amdt. No. 1785, As Modified)"
2012,112,2,45,12,86,On the Amendment S.Amdt. 1742 to S. 1813 (MAP-21)
2012,112,2,46,76,20,On the Amendment S.Amdt. 1816 to S.Amdt. 1761 to S. 1813 (MAP-21)
2012,112,2,47,42,54,On the Motion (Motion to Waive All Applicable Budgetary Disciple Re: Paul Amdt. No. 1556)
2012,112,2,48,74,22,On Passage of the Bill S. 1813
2012,112,2,49,95,2,On the Nomination PN566
2012,112,2,50,91,6,On the Nomination PN786
2012,112,2,51,54,45,On the Cloture Motion S.Amdt. 1833 to H.R. 3606 (Reopening American Capital Markets to Emerging Growth Companies Act of 2011)
2012,112,2,52,55,44,On the Cloture Motion S.Amdt. 1836 to H.R. 3606 (Reopening American Capital Markets to Emerging Growth Companies Act of 2011)
2012,112,2,53,76,22,On the Cloture Motion H.R. 3606
2012,112,2,54,64,35,On the Amendment S.Amdt. 1884 to H.R. 3606 (Reopening American Capital Markets to Emerging Growth Companies Act of 2011)
2012,112,2,55,73,26,On Passage of the Bill H.R. 3606
2012,112,2,56,96,3,On the Cloture Motion S. 2038
2012,112,2,57,96,2,On the Nomination PN735
2012,112,2,58,96,2,On the Nomination PN857
2012,112,2,59,92,4,On the Cloture Motion S. 2204
2012,112,2,60,51,46,On the Cloture Motion S. 1789
2012,112,2,61,59,39,On the Nomination PN865
2012,112,2,62,96,1,On the Nomination PN633
2012,112,2,63,51,47,On the Cloture Motion S. 2204
2012,112,2,64,91,3,On the Nomination PN919
2012,112,2,65,51,45,On Cloture on the Motion to Proceed S. 2230
2012,112,2,66,74,22,On Cloture on the Motion to Proceed S. 1789
2012,112,2,67,92,1,On the Nomination PN986
2012,112,2,68,45,54,On the Motion to Proceed S.J.Res. 36
2012,112,2,69,62,37,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Amdt. No. 2000 As Modified)
2012,112,2,70,30,69,On the Amendment S.Amdt. 2033 to S.Amdt. 2000 to S. 1789 (21st Century Postal Service Act of 2012)
2012,112,2,71,33,65,On the Amendment S.Amdt. 2061 to S.Amdt. 2000 to S. 1789 (21st Century Postal Service Act of 2012)
2012,112,2,72,43,56,On the Amendment S.Amdt. 2043 to S.Amdt. 2000 to S. 1789 (21st Century Postal Service Act of 2012)
2012,112,2,73,46,53,On the Amendment S.Amdt. 2034 to S.Amdt. 2000 to S. 1789 (21st Century Postal Service Act of 2012)
2012,112,2,74,29,70,On the Amendment S.Amdt. 2083 to S.Amdt. 2000 to S. 1789 (21st Century Postal Service Act of 2012)
