Year,Congress,Session,Vote_Number,Yeas,Nays,Question
1999,106,1,1,100,0,On the Resolution (S.Res.16)
1999,106,1,2,43,57,On the Motion (Harkin motion to suspend the rules)
1999,106,1,3,41,58,On the Motion (Harkin motion to suspend the rules)
1999,106,1,4,44,56,On the Motion (Byrd motion to dismiss the impeachment proceedings)
1999,106,1,5,56,44,"On the Motion (House Mgrs. motion to subpoena witnesses, admit evidence not in recor)"
1999,106,1,6,44,54,On the Amendment S.Amdt. 1 to S.Res. 30 (No short title on file)
1999,106,1,7,43,55,On the Amendment S.Amdt. 2 to S.Res. 30 (No short title on file)
1999,106,1,8,54,44,On the Resolution (S.Res. 30 as amended)
1999,106,1,9,100,0,On the Motion (Division I of House Mngrs. Motion RE: Admission of Evidence)
1999,106,1,10,30,70,On the Motion (Division III House Mgrs Motion Re: Appearance of Witnesses)
1999,106,1,11,27,73,On the Motion (Murray Motion to Substitute Division III of House Motion)
1999,106,1,12,62,38,On the Motion (Division III House Mgrs Motion Re: Presentation of Evidence)
1999,106,1,13,44,56,On the Motion (Daschle motion to proceed to closing arguments.)
1999,106,1,14,46,54,On the Motion (White House Counsel - motion on video excerpts from depositions)
1999,106,1,15,59,41,On the Motion (Lott motion to suspend the rules.)
1999,106,1,16,53,47,On the Motion (Lott motion to close the doors.)
1999,106,1,17,45,55,Guilty or Not Guilty H.Res. 611
1999,106,1,18,50,50,Guilty or Not Guilty H.Res. 611
1999,106,1,19,43,56,On the Motion (Gramm Motion to Postpone)
1999,106,1,20,87,11,"On the Amendment S.Amdt. 9 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)"
1999,106,1,21,100,0,"On the Amendment S.Amdt. 18 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)"
1999,106,1,22,94,6,"On the Amendment S.Amdt. 19 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)"
1999,106,1,23,100,0,"On the Amendment S.Amdt. 6 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)"
1999,106,1,24,0,100,"On the Motion to Table S.Amdt. 26 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)"
1999,106,1,25,80,20,"On the Point of Order S.Amdt. 29 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)"
1999,106,1,26,91,8,On Passage of the Bill S. 4
1999,106,1,27,99,0,On the Resolution S.Res. 45
1999,106,1,28,99,0,On Passage of the Bill S. 314
1999,106,1,29,92,6,On the Resolution S.Res. 7
1999,106,1,30,55,42,On the Motion to Table S.Amdt. 32 to S.Amdt. 31 to S. 280 (Education Flexibility Partnership Act of 1999)
1999,106,1,31,100,0,On the Amendment S.Amdt. 36 to S.Amdt. 35 to S.Amdt. 31 to S. 280
1999,106,1,32,54,43,On the Motion to Table S.Amdt. 38 to S.Amdt. 31 to S. 280 (Education Flexibility Partnership Act of 1999)
1999,106,1,33,0,88,On the Motion to Table S.Amdt. 40 to S. 280 (Education Flexibility Partnership Act of 1999)
1999,106,1,34,54,41,On the Cloture Motion S.Amdt. 31 to S. 280 (Education Flexibility Partnership Act of 1999)
1999,106,1,35,55,39,On the Cloture Motion S.Amdt. 31 to S. 280 (Education Flexibility Partnership Act of 1999)
