Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2003,108,1,1,51,46,On the Motion to Adjourn (Motion to Adjourn)
2003,108,1,2,45,51,"On the Amendment S.Amdt. 2 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,3,45,51,"On the Amendment S.Amdt. 8 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,4,52,45,"On the Amendment S.Amdt. 19 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,5,46,51,"On the Amendment S.Amdt. 13 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,6,52,46,"On the Motion to Table S.Amdt. 32 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,7,46,52,"On the Amendment S.Amdt. 36 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,8,62,33,"On the Motion to Table S.Amdt. 44 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,9,92,0,On Passage of the Bill S. 121
2003,108,1,10,88,4,"On the Amendment S.Amdt. 27 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,11,51,45,"On the Amendment S.Amdt. 86 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,12,46,50,"On the Amendment S.Amdt. 67 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,13,94,0,On the Nomination PN1
2003,108,1,14,45,49,On the Motion (Motion To Waive C.B.A. RE: Reed Amdt. No. 40)
2003,108,1,15,59,35,"On the Amendment S.Amdt. 204 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,16,39,56,"On the Amendment S.Amdt. 79 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,17,48,46,"On the Motion to Table S.Amdt. 97 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,18,64,31,"On the Motion to Table S.Amdt. 68 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
2003,108,1,19,36,61,"On the Amendment S.Amdt. 200 to H.J.Res. 2 (Consolidated Appropriations Resolution, 2003)"
