Year,Congress,Session,Vote_Number,Yeas,Nays,Question
1995,104,1,1,76,19,On the Motion to Table S.Amdt. 1 to S.Res. 14 (No short title on file)
1995,104,1,2,52,39,On the Motion to Table S.Amdt. 3 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,3,74,17,On the Motion to Table S.Amdt. 5 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,4,30,53,"On the Motion (motion to waive cba re: amdt no. 6, as modified)"
1995,104,1,5,56,23,On the Motion to Table S.Amdt. 7 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,6,55,44,On the Amendment S.Amdt. 8 to S.Amdt. 4 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,7,55,44,On the Motion to Table S.Amdt. 9 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,8,79,20,On the Motion to Table S.Amdt. 11 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,9,64,35,On the Motion to Table S.Amdt. 10 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,10,54,45,On the Motion to Table S.Amdt. 13 to S.Amdt. 4 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,11,56,43,On the Motion to Table S.Amdt. 14 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,12,99,0,On the Nomination PN1
1995,104,1,13,61,38,On the Motion to Table S.Amdt. 15 to S. 2 (Congressional Accountability Act of 1995)
1995,104,1,14,98,1,On Passage of the Bill S. 2
1995,104,1,15,88,3,On the Motion for Attendance S. 1
1995,104,1,16,53,38,On the Motion to Table S. 1
1995,104,1,17,54,35,On the Motion to Table S. 1
1995,104,1,18,88,0,On the Amendment S.Amdt. 18 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,19,88,0,On the Amendment S.Amdt. 19 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,20,55,39,On the Motion to Table S. 1
1995,104,1,21,52,42,On the Motion to Table S. 1
1995,104,1,22,27,66,On the Motion to Table S. 1
1995,104,1,23,99,1,On the Amendment S.Amdt. 139 to S.Amdt. 31 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,24,93,5,On the Amendment S.Amdt. 141 to S.Amdt. 31 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,25,99,0,On the Amendment S.Amdt. 142 to S.Amdt. 31 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,26,99,0,On the Amendment S.Amdt. 143 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,27,54,44,On the Cloture Motion S. 1
1995,104,1,28,73,25,On the Motion to Table S.Amdt. 144 to S.Amdt. 31 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,29,53,44,On the Motion to Table S.Amdt. 151 to S.Amdt. 31 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,30,96,0,On the Amendment S.Amdt. 170 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,31,55,42,On the Motion to Table S.Amdt. 171 to S.Amdt. 31 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,32,54,43,On the Motion to Table S.Amdt. 31 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,33,55,42,On the Motion to Table S. 1
1995,104,1,34,55,42,On the Motion to Table S. 1
1995,104,1,35,55,42,On the Motion to Table S. 1
1995,104,1,36,55,42,On the Motion to Table S. 1
1995,104,1,37,63,34,On the Motion to Table S.Amdt. 178 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,38,52,44,On the Motion to Table S.Amdt. 179 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,39,58,39,On the Motion to Table S.Amdt. 191 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,40,57,40,On the Motion to Table S.Amdt. 192 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,41,55,41,On the Motion to Table S.Amdt. 182 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,42,96,0,On the Resolution S.Res. 69
1995,104,1,43,54,45,On the Motion to Table S.Amdt. 185 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,44,55,44,On the Motion to Table S.Amdt. 202 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,45,99,0,On the Amendment S.Amdt. 207 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,46,98,0,On the Resolution S.Res. 72
1995,104,1,47,58,40,On the Motion to Table S.Amdt. 201 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,48,63,36,On the Motion to Table S.Amdt. 199 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,49,100,0,On the Amendment S.Amdt. 213 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,50,44,56,On the Motion to Table S.Amdt. 196 to S.Amdt. 190 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,51,83,16,On the Amendment S.Amdt. 196 to S.Amdt. 190 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,52,62,38,On the Motion to Table S.Amdt. 224 to S.Amdt. 190 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,53,99,0,On the Amendment S.Amdt. 226 to S.Amdt. 203 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,54,53,46,On the Motion to Table S.Amdt. 227 to S.Amdt. 203 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,55,62,37,On the Motion to Table S.Amdt. 194 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,56,93,6,On the Amendment S.Amdt. 184 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,57,54,43,On the Motion to Table S.Amdt. 175 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,58,53,43,On the Motion to Table S.Amdt. 197 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,59,52,43,On the Motion to Table S.Amdt. 174 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,60,58,39,On the Motion to Table S.Amdt. 218 to S. 1 (Unfunded Mandates Reform Act of 1995)
1995,104,1,61,86,10,On Passage of the Bill S. 1
1995,104,1,62,56,44,On the Motion to Table S.Amdt. 231 to H.J.Res. 1 (No short title on file)
1995,104,1,63,87,10,On the Amendment S.Amdt. 238 to S.Amdt. 237 to H.J.Res. 1 (No short title on file)
1995,104,1,64,91,2,On the Resolution S.Res. 73
1995,104,1,65,57,41,On the Motion to Table S.Amdt. 236 to H.J.Res. 1 (No short title on file)
1995,104,1,66,70,28,On the Motion to Table S.Amdt. 240 to H.J.Res. 1 (No short title on file)
1995,104,1,67,66,32,On the Motion to Table H.J.Res. 1
1995,104,1,68,52,45,On the Motion to Table S.Amdt. 241 to H.J.Res. 1 (No short title on file)
1995,104,1,69,59,40,On the Motion to Table S.Amdt. 248 to H.J.Res. 1 (No short title on file)
1995,104,1,70,59,40,On the Motion to Table H.J.Res. 1
1995,104,1,71,52,47,On the Motion to Table S.Amdt. 272 to H.J.Res. 1 (No short title on file)
1995,104,1,72,59,38,On the Motion to Table S.Amdt. 278 to H.J.Res. 1 (No short title on file)
1995,104,1,73,61,33,On the Motion to Table H.J.Res. 1
1995,104,1,74,57,42,On the Cloture Motion H.J.Res. 1
1995,104,1,75,55,41,On the Motion to Table S.Amdt. 256 to H.J.Res. 1 (No short title on file)
1995,104,1,76,62,33,On the Motion to Table S.Amdt. 306 to H.J.Res. 1 (No short title on file)
1995,104,1,77,60,35,On the Motion to Table H.J.Res. 1
1995,104,1,78,60,35,On the Motion to Table H.J.Res. 1
1995,104,1,79,68,27,On the Motion to Table H.J.Res. 1
1995,104,1,80,60,39,On the Motion to Table S.Amdt. 274 to H.J.Res. 1 (No short title on file)
1995,104,1,81,99,0,On the Motion to Table S.Amdt. 291 to H.J.Res. 1 (No short title on file)
1995,104,1,82,59,40,On the Motion to Table S.Amdt. 259 to H.J.Res. 1 (No short title on file)
1995,104,1,83,57,43,On the Motion to Table S.Amdt. 298 to H.J.Res. 1 (No short title on file)
1995,104,1,84,62,38,On the Motion to Table S.Amdt. 238 to S.Amdt. 237 to H.J.Res. 1 (No short title on file)
1995,104,1,85,63,37,On the Motion to Table the Motion to Recommit H.J.Res. 1
1995,104,1,86,61,39,On the Motion to Table S.Amdt. 299 to H.J.Res. 1 (No short title on file)
1995,104,1,87,92,8,On the Amendment S.Amdt. 300 to H.J.Res. 1 (No short title on file)
1995,104,1,88,62,38,On the Motion to Table S.Amdt. 273 to H.J.Res. 1 (No short title on file)
1995,104,1,89,57,43,On the Motion to Table S.Amdt. 310 to H.J.Res. 1 (No short title on file)
1995,104,1,90,100,0,On the Motion to Table S.Amdt. 311 to H.J.Res. 1 (No short title on file)
1995,104,1,91,63,37,On the Motion to Table S.Amdt. 307 to H.J.Res. 1 (No short title on file)
1995,104,1,92,69,31,On the Motion to Table S.Amdt. 252 to H.J.Res. 1 (No short title on file)
1995,104,1,93,68,32,On the Motion to Table S.Amdt. 254 to H.J.Res. 1 (No short title on file)
1995,104,1,94,62,38,On the Motion to Table S.Amdt. 255 to H.J.Res. 1 (No short title on file)
1995,104,1,95,63,37,On the Motion to Table S.Amdt. 253 to H.J.Res. 1 (No short title on file)
1995,104,1,96,75,25,On the Motion to Table S.Amdt. 258 to H.J.Res. 1 (No short title on file)
1995,104,1,97,63,37,On the Motion to Table the Motion to Recommit H.J.Res. 1
