Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2018,115,2,1,81,7,On the Nomination PN1098
2018,115,2,2,89,1,On the Cloture Motion PN748
2018,115,2,3,97,0,On the Nomination PN748
2018,115,2,4,96,1,On the Cloture Motion PN752
2018,115,2,5,98,0,On the Nomination PN752
2018,115,2,6,97,1,On the Cloture Motion PN747
2018,115,2,7,92,0,On the Nomination PN747
2018,115,2,8,90,1,On the Cloture Motion PN1015
2018,115,2,9,96,0,On the Nomination PN1015
2018,115,2,10,68,27,On the Motion to Proceed S. 139
2018,115,2,11,60,38,On the Cloture Motion S. 139
2018,115,2,12,65,34,On the Motion (Motion to Concur in the House Amendment to S. 139)
2018,115,2,13,97,2,On the Motion to Proceed H.R. 195
2018,115,2,14,50,49,On the Cloture Motion H.R. 195
2018,115,2,15,55,44,On the Motion to Table H.R. 195
2018,115,2,16,81,18,On the Cloture Motion H.R. 195
2018,115,2,17,81,18,On the Motion (Motion to Concur in the House Amendment to the Senate Amendment  with Further Amendment)
2018,115,2,18,84,12,On the Cloture Motion PN1353
2018,115,2,19,84,13,On the Nomination PN1353
2018,115,2,20,54,43,On the Cloture Motion PN1371
2018,115,2,21,55,43,On the Nomination PN1371
2018,115,2,22,49,49,On the Cloture Motion PN1341
2018,115,2,23,49,49,On the Nomination PN1341
2018,115,2,24,89,1,On the Nomination PN1079
2018,115,2,25,51,46,On Cloture on the Motion to Proceed S. 2311
2018,115,2,26,57,41,On the Cloture Motion PN1423
2018,115,2,27,56,42,On the Nomination PN1423
2018,115,2,28,94,0,On the Nomination PN927
2018,115,2,29,55,44,On the Cloture Motion H.R. 695
2018,115,2,30,73,26,On the Cloture Motion H.R. 1892
2018,115,2,31,71,28,On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 1892 with an Amendment (SA 1930))
2018,115,2,32,97,1,On Cloture on the Motion to Proceed H.R. 2579
2018,115,2,33,52,47,On the Cloture Motion S.Amdt. 1955 to S.Amdt. 1958 to H.R. 2579 (Broader Options for Americans Act)
2018,115,2,34,54,45,On the Cloture Motion S.Amdt. 1948 to S.Amdt. 1959 to H.R. 2579 (Broader Options for Americans Act)
2018,115,2,35,54,45,On the Cloture Motion S.Amdt. 1958 to H.R. 2579 (Broader Options for Americans Act)
2018,115,2,36,39,60,On the Cloture Motion S.Amdt. 1959 to H.R. 2579 (Broader Options for Americans Act)
2018,115,2,37,72,22,On the Cloture Motion PN1404
2018,115,2,38,73,23,On the Nomination PN1404
2018,115,2,39,49,48,On the Cloture Motion PN367
2018,115,2,40,49,49,On the Nomination PN367
2018,115,2,41,69,29,On the Cloture Motion PN884
2018,115,2,42,69,28,On the Nomination PN884
2018,115,2,43,96,1,On the Cloture Motion PN992
2018,115,2,44,85,12,On the Cloture Motion PN755
2018,115,2,45,94,2,On the Cloture Motion PN876
2018,115,2,46,95,0,On the Nomination PN992
2018,115,2,47,85,11,On the Nomination PN755
2018,115,2,48,67,32,On the Cloture Motion S. 2155
2018,115,2,49,98,0,On the Nomination PN876
2018,115,2,50,66,30,"On the Cloture Motion S.Amdt. 2151 to S. 2155 (Economic Growth, Regulatory Relief, and Consumer Protection Act)"
2018,115,2,51,67,31,"On the Amendment S.Amdt. 2151 to S. 2155 (Economic Growth, Regulatory Relief, and Consumer Protection Act)"
2018,115,2,52,67,31,On the Cloture Motion S. 2155
2018,115,2,53,67,31,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: S. 2155)
2018,115,2,54,67,31,On Passage of the Bill S. 2155
2018,115,2,55,79,19,On the Cloture Motion PN1373
2018,115,2,56,77,19,On the Nomination PN1373
2018,115,2,57,94,2,On Cloture on the Motion to Proceed H.R. 1865
2018,115,2,58,55,44,On the Motion to Table S.J.Res. 54
2018,115,2,59,21,78,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Wyden Amdt. No. 2213)
2018,115,2,60,97,2,On Passage of the Bill H.R. 1865
2018,115,2,61,91,6,On the Motion for Attendance H.R. 1625
2018,115,2,62,67,30,On the Cloture Motion H.R. 1625
2018,115,2,63,65,32,On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 1625)
2018,115,2,64,96,2,On the Cloture Motion PN596
2018,115,2,65,96,1,On the Nomination PN596
2018,115,2,66,50,47,On the Cloture Motion PN1443
2018,115,2,67,50,48,On the Nomination PN1443
2018,115,2,68,50,48,On the Cloture Motion PN1395
2018,115,2,69,50,48,On the Nomination PN1395
2018,115,2,70,53,45,On the Cloture Motion PN1426
2018,115,2,71,53,45,On the Nomination PN1426
2018,115,2,72,74,24,On the Cloture Motion PN988
2018,115,2,73,94,2,On the Cloture Motion PN989
2018,115,2,74,55,41,On the Cloture Motion S. 140
2018,115,2,75,50,47,On the Motion to Proceed S.J.Res. 57
2018,115,2,76,51,47,On the Joint Resolution S.J.Res. 57
2018,115,2,77,56,42,On the Cloture Motion S. 140
2018,115,2,78,50,48,On the Cloture Motion PN1359
2018,115,2,79,55,43,On the Nomination PN568
2018,115,2,80,50,49,On the Nomination PN1359
2018,115,2,81,50,44,On the Cloture Motion PN1410
2018,115,2,82,50,47,On the Nomination PN1410
2018,115,2,83,57,42,On the Cloture Motion PN1761
2018,115,2,84,57,42,On the Nomination PN1761
2018,115,2,85,56,42,On the Nomination PN1383
2018,115,2,86,64,31,On the Cloture Motion PN1411
2018,115,2,87,62,34,On the Nomination PN1411
2018,115,2,88,49,47,On the Cloture Motion PN1405
2018,115,2,89,49,46,On the Nomination PN1405
2018,115,2,90,71,24,On the Cloture Motion PN1330
2018,115,2,91,52,43,On the Cloture Motion PN1526
2018,115,2,92,90,0,On the Nomination PN1647
2018,115,2,93,91,0,On the Nomination PN1648
2018,115,2,94,77,21,On the Nomination PN1330
2018,115,2,95,53,45,On the Nomination PN1526
2018,115,2,96,52,47,On the Motion to Proceed S.J.Res. 52
2018,115,2,97,52,47,On the Joint Resolution S.J.Res. 52
2018,115,2,98,50,48,On the Nomination PN1397
2018,115,2,99,21,76,On the Motion to Proceed S.Con.Res. 36
2018,115,2,100,54,44,On the Cloture Motion PN1857
2018,115,2,101,54,45,On the Nomination PN1857
2018,115,2,102,49,45,On the Cloture Motion PN1358
2018,115,2,103,50,45,On the Nomination PN1358
2018,115,2,104,91,4,On the Cloture Motion S. 2372
2018,115,2,105,74,23,On the Nomination PN1352
2018,115,2,106,92,5,On the Motion (Motion to Concur in the House Amendment to S. 2372)
2018,115,2,107,72,25,On the Cloture Motion PN1351
2018,115,2,108,73,23,On the Cloture Motion PN1516
2018,115,2,109,69,24,On the Nomination PN1351
2018,115,2,110,49,44,On the Cloture Motion PN1382
2018,115,2,111,48,43,On the Nomination PN1382
2018,115,2,112,90,1,On the Cloture Motion PN886
2018,115,2,113,95,0,On the Nomination PN886
2018,115,2,114,94,1,On the Cloture Motion PN991
2018,115,2,115,96,0,On the Nomination PN991
2018,115,2,116,84,11,On the Cloture Motion PN1400
2018,115,2,117,83,11,On the Nomination PN1400
2018,115,2,118,50,46,On the Nomination PN1393
2018,115,2,119,92,4,On Cloture on the Motion to Proceed H.R. 5515
2018,115,2,120,91,4,On the Motion to Proceed H.R. 5515
2018,115,2,121,47,51,On the Motion to Table S.Amdt. 2842 to S.Amdt. 2366 to H.R. 5515 (National Defense Authorization Act for Fiscal Year 2019)
2018,115,2,122,30,68,On the Motion to Table S.Amdt. 2366 to H.R. 5515 (National Defense Authorization Act for Fiscal Year 2019)
2018,115,2,123,35,62,On the Cloture Motion S.Amdt. 2700 to S.Amdt. 2282 to H.R. 5515 (National Defense Authorization Act for Fiscal Year 2019)
2018,115,2,124,83,14,On the Cloture Motion S.Amdt. 2282 to H.R. 5515 (National Defense Authorization Act for Fiscal Year 2019)
2018,115,2,125,97,0,On the Amendment S.Amdt. 2885 to S.Amdt. 2276 to S.Amdt. 2282 to H.R. 5515
2018,115,2,126,81,15,On the Cloture Motion H.R. 5515
2018,115,2,127,81,14,"On the Motion (Motion to Waive Section 4106(b)(1) H. Con. Res. 71 Re: Amdt. No. 2282, As Modified and Amended)"
2018,115,2,128,85,10,On Passage of the Bill H.R. 5515
2018,115,2,129,92,3,On Cloture on the Motion to Proceed H.R. 5895
2018,115,2,130,93,3,"On the Amendment S.Amdt. 2914 to S.Amdt. 2910 to H.R. 5895 (Energy and Water, Legislative Branch, and Military Construction and Veterans Affairs Appropriations Act, 2019)"
2018,115,2,131,96,0,"On the Amendment S.Amdt. 2920 to S.Amdt. 2910 to H.R. 5895 (Energy and Water, Legislative Branch, and Military Construction and Veterans Affairs Appropriations Act, 2019)"
2018,115,2,132,87,9,"On the Amendment S.Amdt. 2943 to S.Amdt. 2910 to H.R. 5895 (Energy and Water, Legislative Branch, and Military Construction and Veterans Affairs Appropriations Act, 2019)"
2018,115,2,133,95,2,"On the Amendment S.Amdt. 2985 to S.Amdt. 2910 to H.R. 5895 (Energy and Water, Legislative Branch, and Military Construction and Veterans Affairs Appropriations Act, 2019)"
2018,115,2,134,48,50,On the Motion to Discharge H.R. 3
2018,115,2,135,96,0,"On the Amendment S.Amdt. 2926 to S.Amdt. 2910 to H.R. 5895 (Energy and Water, Legislative Branch, and Military Construction and Veterans Affairs Appropriations Act, 2019)"
2018,115,2,136,96,0,"On the Amendment S.Amdt. 2971 to S.Amdt. 2910 to H.R. 5895 (Energy and Water, Legislative Branch, and Military Construction and Veterans Affairs Appropriations Act, 2019)"
2018,115,2,137,96,0,"On the Amendment S.Amdt. 2983 to S.Amdt. 2910 to H.R. 5895 (Energy and Water, Legislative Branch, and Military Construction and Veterans Affairs Appropriations Act, 2019)"
2018,115,2,138,62,34,On the Motion to Table S.Amdt. 3021 to S.Amdt. 2911 to S.Amdt. 2910 to H.R. 5895
2018,115,2,139,86,5,On Passage of the Bill H.R. 5895
2018,115,2,140,89,3,On Cloture on the Motion to Proceed H.R. 2
2018,115,2,141,68,30,On the Motion to Table S.Amdt. 3383 to H.R. 2 (Agriculture and Nutrition Act of 2018)
2018,115,2,142,38,57,On the Amendment S.Amdt. 3074 to S.Amdt. 3224 to H.R. 2 (Agriculture and Nutrition Act of 2018)
2018,115,2,143,86,11,On Passage of the Bill H.R. 2
2018,115,2,144,72,25,On the Cloture Motion PN1642
2018,115,2,145,72,27,On the Nomination PN1642
2018,115,2,146,51,48,On the Cloture Motion PN1402
2018,115,2,147,91,8,"On the Motion (Motion to Insist on the Senate Amendment to H.R. 5515, Agree to the Request for Conference, and Authorize the Chair to Appoint Conferees)"
2018,115,2,148,97,2,On the Motion (Cornyn Motion to Instruct Conferees Re: H.R. 5515)
2018,115,2,149,97,2,On the Motion (Reed Motion to Instruct Conferees Re: H.R. 5515)
2018,115,2,150,94,5,On the Motion (Cassidy Motion to Instruct Conferees Re: H.R. 5895)
2018,115,2,151,88,11,On the Motion (Corker Motion to Instruct Conferees Re: H.R. 5895)
2018,115,2,152,51,48,On the Nomination PN1402
2018,115,2,153,74,25,On the Cloture Motion PN1438
2018,115,2,154,70,23,On the Nomination PN1438
2018,115,2,155,85,0,On the Nomination PN1955
2018,115,2,156,50,49,On the Nomination PN1391
