Year,Congress,Session,Vote_Number,Yeas,Nays,Question
1993,103,1,1,67,33,On the Motion to Table S.Amdt. 4 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,2,60,40,On the Motion to Table S.Amdt. 10 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,3,54,46,On the Motion to Table S.Amdt. 3 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,4,63,36,On the Motion to Table S.Amdt. 11 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,5,64,35,On the Motion to Table S.Amdt. 12 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,6,56,42,On the Motion to Table S.Amdt. 14 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,7,67,31,On the Motion to Table S.Amdt. 16 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,8,1,98,On the Motion to Table S.Amdt. 18 to S.Amdt. 17 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,9,62,37,On the Motion to Table S.Amdt. 19 to S.Amdt. 17 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,10,59,39,On the Motion to Table S.Amdt. 22 to S. 5 (Family and Medical Leave Act of 1993)
1993,103,1,11,71,27,On Passage of the Bill H.R. 1
1993,103,1,12,42,56,On the Amendment S.Amdt. 40 to S. 1 (National Institutes of Health Revitalization Act of 1993)
1993,103,1,13,76,23,On the Amendment S.Amdt. 39 to S. 1 (National Institutes of Health Revitalization Act of 1993)
1993,103,1,14,23,74,On the Amendment S.Amdt. 49 to S. 1 (National Institutes of Health Revitalization Act of 1993)
1993,103,1,15,93,4,On Passage of the Bill S. 1
1993,103,1,16,98,0,On the Amendment S.Amdt. 51 to S.Amdt. 50 to S.Res. 71 (No short title on file)
1993,103,1,17,30,68,On the Amendment S.Amdt. 59 to S.Amdt. 58 to S.Res. 71 (No short title on file)
1993,103,1,18,43,56,On the Amendment S.Amdt. 58 to S.Res. 71 (No short title on file)
1993,103,1,19,29,69,On the Amendment S.Amdt. 61 to S.Res. 71 (No short title on file)
1993,103,1,20,94,2,On Passage of the Bill S.Res. 71
1993,103,1,21,57,43,On the Motion to Table S.Amdt. 66 to S. 382 (Emergency Unemployment Compensation Amendments of 1993)
1993,103,1,22,44,55,On the Motion (Motion To Waive CBA)
1993,103,1,23,58,41,On the Motion to Table S.Amdt. 69 to S. 382 (Emergency Unemployment Compensation Amendments of 1993)
1993,103,1,24,66,33,On Passage of the Bill H.R. 920
1993,103,1,25,52,36,On Cloture on the Motion to Proceed S. 460
1993,103,1,26,62,38,On Cloture on the Motion to Proceed S. 460
1993,103,1,27,45,52,On the Motion (motion to waive CBA with respect to McCain amdt 73)
1993,103,1,28,56,41,On the Motion to Table S.Amdt. 78 to S. 460 (National Voter Registration Act of 1993)
1993,103,1,29,98,0,On the Nomination PN96
1993,103,1,30,55,42,On the Motion to Table S.Amdt. 79 to S. 460 (National Voter Registration Act of 1993)
1993,103,1,31,53,43,On the Motion to Table S.Amdt. 80 to S. 460 (National Voter Registration Act of 1993)
1993,103,1,32,99,0,On the Amendment S.Amdt. 123 to S. 460 (National Voter Registration Act of 1993)
1993,103,1,33,59,41,On the Cloture Motion S. 460
1993,103,1,34,58,40,On the Motion to Table S.Amdt. 128 to S. 460 (National Voter Registration Act of 1993)
1993,103,1,35,58,40,On the Motion to Table S.Amdt. 129 to S. 460 (National Voter Registration Act of 1993)
1993,103,1,36,58,40,On the Motion to Table S.Amdt. 112 to S. 460 (National Voter Registration Act of 1993)
1993,103,1,37,59,39,On the Motion to Table S.Amdt. 111 to S. 460 (National Voter Registration Act of 1993)
1993,103,1,38,62,37,On Passage of the Bill H.R. 2
1993,103,1,39,88,12,On the Amendment S.Amdt. 181 to S.Con.Res. 18 (No short title on file)
1993,103,1,40,46,53,On the Amendment S.Amdt. 182 to S.Con.Res. 18 (No short title on file)
1993,103,1,41,84,12,On the Amendment S.Amdt. 183 to S.Con.Res. 18 (No short title on file)
1993,103,1,42,54,42,On the Motion to Table S.Amdt. 184 to S.Con.Res. 18 (No short title on file)
1993,103,1,43,56,44,On the Amendment S.Amdt. 185 to S.Con.Res. 18 (No short title on file)
1993,103,1,44,48,52,On the Amendment S.Amdt. 186 to S.Con.Res. 18 (No short title on file)
1993,103,1,45,54,45,On the Amendment S.Amdt. 188 to S.Con.Res. 18 (No short title on file)
1993,103,1,46,69,30,On the Amendment S.Amdt. 189 to S.Con.Res. 18 (No short title on file)
1993,103,1,47,56,43,On the Amendment S.Amdt. 192 to S.Con.Res. 18 (No short title on file)
1993,103,1,48,59,40,On the Motion to Table S.Amdt. 194 to S.Con.Res. 18 (No short title on file)
1993,103,1,49,51,48,On the Motion to Table S.Amdt. 196 to S.Con.Res. 18 (No short title on file)
1993,103,1,50,58,41,On the Motion to Table S.Amdt. 198 to S.Con.Res. 18 (No short title on file)
1993,103,1,51,82,15,On the Amendment S.Amdt. 202 to S.Con.Res. 18 (No short title on file)
1993,103,1,52,55,44,On the Motion to Table S.Amdt. 209 to S.Con.Res. 18 (No short title on file)
1993,103,1,53,55,44,On the Motion to Table S.Amdt. 203 to S.Con.Res. 18 (No short title on file)
1993,103,1,54,70,29,On the Amendment S.Amdt. 215 to S.Con.Res. 18 (No short title on file)
1993,103,1,55,52,47,On the Motion to Table S.Amdt. 210 to S.Con.Res. 18 (No short title on file)
1993,103,1,56,56,43,On the Amendment S.Amdt. 217 to S.Con.Res. 18 (No short title on file)
1993,103,1,57,52,47,On the Motion to Table S.Amdt. 240 to S.Con.Res. 18 (No short title on file)
1993,103,1,58,67,32,On the Amendment S.Amdt. 242 to S.Con.Res. 18 (No short title on file)
1993,103,1,59,55,44,On the Motion to Table S.Amdt. 249 to S.Con.Res. 18 (No short title on file)
1993,103,1,60,42,57,On the Amendment S.Amdt. 258 to S.Con.Res. 18 (No short title on file)
