Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2013,113,1,1,78,16,On the Resolution S.Res. 15
2013,113,1,2,86,9,On the Resolution S.Res. 16
2013,113,1,3,35,62,"On the Amendment S.Amdt. 4 to H.R. 152 (Disaster Relief Appropriations Act, 2013)"
2013,113,1,4,62,36,On Passage of the Bill H.R. 152
2013,113,1,5,94,3,On the Nomination PN42
2013,113,1,6,54,44,On the Motion to Table S.Amdt. 6 to H.R. 325 (No short title on file)
2013,113,1,7,52,46,On the Motion to Table S.Amdt. 7 to H.R. 325 (No short title on file)
2013,113,1,8,53,45,On the Motion to Table S.Amdt. 8 to H.R. 325 (No short title on file)
2013,113,1,9,79,19,On the Motion to Table S.Amdt. 9 to H.R. 325 (No short title on file)
2013,113,1,10,53,45,On the Motion to Table H.R. 325
2013,113,1,11,64,34,On Passage of the Bill H.R. 325
2013,113,1,12,85,8,On the Motion to Proceed S. 47
2013,113,1,13,34,65,On the Amendment S.Amdt. 14 to S. 47 (Violence Against Women Reauthorization Act of 2013)
2013,113,1,14,31,59,On the Amendment S.Amdt. 13 to S. 47 (Violence Against Women Reauthorization Act of 2013)
2013,113,1,15,93,5,On the Amendment S.Amdt. 21 to S. 47 (Violence Against Women Reauthorization Act of 2013)
2013,113,1,16,100,0,On the Amendment S.Amdt. 10 to S. 47 (Violence Against Women Reauthorization Act of 2013)
2013,113,1,17,46,53,On the Amendment S.Amdt. 15 to S. 47 (Violence Against Women Reauthorization Act of 2013)
2013,113,1,18,43,57,On the Amendment S.Amdt. 16 to S. 47 (Violence Against Women Reauthorization Act of 2013)
2013,113,1,19,78,22,On Passage of the Bill S. 47
2013,113,1,20,88,12,On the Nomination PN3
2013,113,1,21,58,40,On the Cloture Motion PN34
2013,113,1,22,93,0,On the Nomination PN1
2013,113,1,23,71,27,On the Cloture Motion PN34
2013,113,1,24,58,41,On the Nomination PN34
2013,113,1,25,71,26,On the Nomination PN40
2013,113,1,26,38,62,On Cloture on the Motion to Proceed S. 16
2013,113,1,27,51,49,On Cloture on the Motion to Proceed S. 388
2013,113,1,28,91,0,On the Nomination PN15
2013,113,1,29,44,53,On the Amendment S.Amdt. 25 to S.Res. 64 (No short title on file)
2013,113,1,30,51,41,On the Cloture Motion PN2
2013,113,1,31,81,16,On the Cloture Motion PN48
2013,113,1,32,63,34,On the Nomination PN48
2013,113,1,33,91,0,On the Nomination PN7
