Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2001,107,1,1,100,0,On the Nomination PN101
2001,107,1,2,100,0,On the Nomination PN102
2001,107,1,3,100,0,On the Nomination PN93
2001,107,1,4,100,0,On the Nomination PN98
2001,107,1,5,100,0,On the Nomination PN104
2001,107,1,6,75,24,On the Nomination PN96
2001,107,1,7,99,0,On the Nomination PN97
2001,107,1,8,58,42,On the Nomination PN107
2001,107,1,9,98,0,On the Nomination PN105
2001,107,1,10,99,0,On Passage of the Bill S. 248
2001,107,1,11,98,0,On Passage of the Bill S. 235
2001,107,1,12,98,0,On Passage of the Bill S. 320
2001,107,1,13,91,0,On the Nomination PN111
2001,107,1,14,94,0,On the Nomination PN168
2001,107,1,15,56,44,On the Joint Resolution S.J.Res. 6
2001,107,1,16,34,65,On the Amendment S.Amdt. 14 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,17,58,41,On the Motion to Table S.Amdt. 13 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,18,50,49,On the Motion to Table S.Amdt. 17 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,19,55,41,On the Motion to Table S.Amdt. 26 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,20,55,42,On the Motion to Table S.Amdt. 27 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,21,61,37,On the Motion to Table S.Amdt. 39 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,22,53,47,On the Motion (Motion to Waive CBA re: Conrad Amendment No. 29)
2001,107,1,23,52,48,On the Motion (Motion to Waive CBA re: Sessions Amendment No. 32)
2001,107,1,24,44,55,On the Motion to Table S.Amdt. 25 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,25,58,41,On the Motion to Table S.Amdt. 75 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,26,67,30,On the Motion to Table S.Amdt. 78 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,27,64,35,On the Motion to Table S.Amdt. 93 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,28,58,41,On the Motion to Table S.Amdt. 36 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,29,80,19,On the Cloture Motion S. 420
2001,107,1,30,39,60,On the Motion to Table S.Amdt. 68 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,31,99,0,On the Amendment S.Amdt. 41 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,32,56,43,On the Amendment S.Amdt. 19 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,33,22,77,On the Amendment S.Amdt. 70 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,34,36,63,On the Amendment S.Amdt. 71 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,35,79,18,On the Amendment S.Amdt. 51 to S. 420 (Bankruptcy Reform Act of 2001)
2001,107,1,36,83,15,On Passage of the Bill S. 420
2001,107,1,37,51,48,On the Motion to Table S.Amdt. 112 to S. 27 (Bipartisan Campaign Reform Act of 2001)
2001,107,1,38,70,30,On the Amendment S.Amdt. 115 to S. 27 (Bipartisan Campaign Reform Act of 2001)
2001,107,1,39,37,63,On the Amendment S.Amdt. 117 to S. 27 (Bipartisan Campaign Reform Act of 2001)
2001,107,1,40,74,25,On the Motion to Table S.Amdt. 118 to S. 27 (Bipartisan Campaign Reform Act of 2001)
2001,107,1,41,69,31,On the Amendment S.Amdt. 122 to S. 27 (Bipartisan Campaign Reform Act of 2001)
2001,107,1,42,36,64,On the Amendment S.Amdt. 123 to S. 27 (Bipartisan Campaign Reform Act of 2001)
2001,107,1,43,69,31,On the Motion to Table S.Amdt. 134 to S. 27 (Bipartisan Campaign Reform Act of 2001)
2001,107,1,44,60,40,On the Motion to Table S.Amdt. 136 to S. 27 (Bipartisan Campaign Reform Act of 2001)
