Year,Congress,Session,Vote_Number,Yeas,Nays,Question
1996,104,2,1,51,40,On the Motion (MOTION TO WAIVE CBA RE: KENNEDY AMDT NO. 3119)
1996,104,2,2,46,45,"On the Motion to Table S.Amdt. 3120 to H.R. 2880 (Balanced Budget Downpayment Act, I)"
1996,104,2,3,45,45,On the Motion (motion to waive CBA re: harkin amdt no. 3122)
1996,104,2,4,82,8,On Passage of the Bill H.R. 2880
1996,104,2,5,56,34,On the Conference Report S. 1124
1996,104,2,6,87,4,On the Resolution of Ratification Treaty Doc. 103-1
1996,104,2,7,53,45,On the Cloture Motion S. 1541
1996,104,2,8,91,5,On the Conference Report S. 652
1996,104,2,9,59,34,On the Cloture Motion S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,10,50,46,On the Amendment S.Amdt. 3442 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,11,37,59,On the Amendment S.Amdt. 3445 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,12,35,61,On the Amendment S.Amdt. 3446 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,13,59,36,On the Motion to Table S.Amdt. 3225 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,14,58,38,On the Amendment S.Amdt. 3447 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,15,57,39,On the Amendment S.Amdt. 3448 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,16,35,61,On the Amendment S.Amdt. 3450 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,17,48,48,On the Amendment S.Amdt. 3451 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,18,33,63,On the Amendment S.Amdt. 3452 to S.Amdt. 3184 to S. 1541 (Agricultural Market Transition Act of 1996)
1996,104,2,19,64,32,On Passage of the Bill S. 1541
1996,104,2,20,54,44,On the Cloture Motion H.R. 2546
1996,104,2,21,52,42,On the Cloture Motion H.R. 2546
1996,104,2,22,74,22,On the Conference Report H.R. 927
1996,104,2,23,53,43,On the Cloture Motion H.R. 2546
1996,104,2,24,43,47,On the Amendment S.Amdt. 3465 to H.R. 3021 (No short title on file)
1996,104,2,25,56,44,On the Cloture Motion H.R. 2546
1996,104,2,26,53,47,On the Cloture Motion S.Res. 227
1996,104,2,27,84,16,On the Amendment S.Amdt. 3473 to S.Amdt. 3467 to S.Amdt. 3466 to H.R. 3019
1996,104,2,28,47,52,"On the Amendment S.Amdt. 3474 to S.Amdt. 3466 to H.R. 3019 (Department of Justice Appropriations Act, 1996)"
1996,104,2,29,53,47,On the Cloture Motion S.Res. 227
1996,104,2,30,49,51,On the Motion to Table S.Amdt. 3479 to S.Amdt. 3478 to S.Amdt. 3466 to H.R. 3019
1996,104,2,31,52,48,"On the Motion to Table S.Amdt. 3483 to S.Amdt. 3466 to H.R. 3019 (Department of Justice Appropriations Act, 1996)"
