Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2010,111,2,1,97,0,On the Nomination PN635
2010,111,2,2,53,45,On the Amendment S.Amdt. 3301 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,3,89,0,On the Nomination PN1077
2010,111,2,4,97,0,On the Amendment S.Amdt. 3300 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,5,53,46,On the Amendment S.Amdt. 3302 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,6,94,0,On the Amendment S.Amdt. 3303 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,7,46,48,On the Amendment S.Amdt. 3303 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,8,33,61,On the Amendment S.Amdt. 3303 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,9,37,57,On the Amendment S.Amdt. 3303 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,10,51,49,On the Amendment S.Amdt. 3309 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,11,56,44,On the Amendment S.Amdt. 3308 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,12,60,40,On the Amendment S.Amdt. 3305 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,13,60,40,On the Amendment S.Amdt. 3299 to H.J.Res. 45 (No short title on file)
2010,111,2,14,60,39,On the Joint Resolution H.J.Res. 45
2010,111,2,15,77,23,On the Cloture Motion PN959
2010,111,2,16,70,30,On the Nomination PN959
2010,111,2,17,60,32,On the Cloture Motion PN319
2010,111,2,18,60,37,On the Nomination PN319
2010,111,2,19,82,16,On the Cloture Motion PN393
2010,111,2,20,96,0,On the Nomination PN393
2010,111,2,21,84,0,On the Nomination PN634
2010,111,2,22,52,33,On the Cloture Motion PN1351
2010,111,2,23,62,30,On the Cloture Motion H.R. 2847
