Year,Congress,Session,Vote_Number,Yeas,Nays,Question
2005,109,1,1,1,74,On the Objection (Shall Objection Submitted Be Sustained Re: Electoral Ballot Count)
2005,109,1,2,85,13,On the Nomination PN8
2005,109,1,3,60,36,On the Nomination PN12
2005,109,1,4,93,0,On the Resolution S.Res. 38
2005,109,1,5,60,39,On the Motion to Table S.Amdt. 5 to S. 5 (Class Action Fairness Act of 2005)
2005,109,1,6,40,59,On the Amendment S.Amdt. 2 to S. 5 (Class Action Fairness Act of 2005)
2005,109,1,7,38,61,On the Amendment S.Amdt. 4 to S. 5 (Class Action Fairness Act of 2005)
2005,109,1,8,37,61,On the Amendment S.Amdt. 12 to S. 5 (Class Action Fairness Act of 2005)
2005,109,1,9,72,26,On Passage of the Bill S. 5
2005,109,1,10,98,0,On the Nomination PN122
2005,109,1,11,98,0,On Passage of the Bill S. 306
2005,109,1,12,63,32,On the Amendment S.Amdt. 23 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,13,38,58,On the Amendment S.Amdt. 16 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,14,40,59,On the Amendment S.Amdt. 17 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,15,40,59,On the Amendment S.Amdt. 15 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,16,39,58,On the Amendment S.Amdt. 28 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,17,39,58,On the Amendment S.Amdt. 29 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,18,37,60,On the Amendment S.Amdt. 32 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,19,52,46,On the Joint Resolution S.J.Res. 4
2005,109,1,20,24,74,On the Amendment S.Amdt. 31 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,21,37,61,On the Amendment S.Amdt. 37 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
2005,109,1,22,40,58,On the Amendment S.Amdt. 38 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005)
